fecha,dia,primero,segundo,yearprimera,yearsegundo
1989-01-01,1,15.4,15.2,1989,2012
1989-01-02,2,14.6,14.5,1989,2003
2007-01-03,3,17.4,15.4,2007,2015
1960-01-04,4,15,14.9,1960,2015
2015-01-05,5,16.1,15.4,2015,1960
1960-01-06,6,17.4,15.3,1960,2013
1957-01-07,7,16.4,16.4,1957,1982
2014-01-08,8,14.7,13.6,2014,1976
2014-01-09,9,15.1,14.9,2014,2015
2015-01-10,10,16.1,15.6,2015,2014
2014-01-11,11,16.3,13.2,2014,2004
2007-01-12,12,16.4,16,2007,1997
2007-01-13,13,17.4,15.6,2007,2011
1968-01-14,14,14.5,14,1968,2005
2019-01-15,15,14.9,13.4,2019,1968
1968-01-16,16,15.1,13.8,1968,2010
1964-01-17,17,13.9,13,1964,1976
2018-01-18,18,14.4,14,2018,1986
2007-01-19,19,19.6,18.6,2007,2008
2008-01-20,20,16.4,16,2008,1969
1969-01-21,21,15.4,15.4,1969,2008
2008-01-22,22,15,13.4,2008,2004
2016-01-23,23,16.2,14.6,2016,2008
2016-01-24,24,16.1,15.4,2016,2018
1959-01-25,25,16.5,14.8,1959,2016
1959-01-26,26,15.8,15.4,1959,2019
1980-01-27,27,15,14.6,1980,2008
2002-01-28,28,18.2,14.8,2002,1981
2002-01-29,29,16.2,14.5,2002,2013
2013-01-30,30,15.8,15.4,2013,1985
2013-01-31,31,14.9,14.9,2013,2016
1985-02-01,1,15.2,15.1,1985,2016
1985-02-02,2,17,16.5,1985,1964
1964-02-03,3,17.4,16.5,1964,2004
1980-02-04,4,16.8,16.6,1980,2004
1995-02-05,5,19,17,1995,1961
2004-02-06,6,18.8,18.3,2004,1962
1992-02-07,7,16.2,16,1992,2011
1987-02-08,8,16.6,16.1,1987,1961
1990-02-09,9,15.6,15.6,1990,2006
1961-02-10,10,20.1,15.2,1961,2002
1961-02-11,11,18.3,15.6,1961,2004
1961-02-12,12,22.2,17.6,1961,2001
1961-02-13,13,19.4,18.2,1961,2002
1961-02-14,14,17.6,15.8,1961,1998
1998-02-15,15,18.4,17.6,1998,1958
1998-02-16,16,17.2,16.6,1998,1989
1998-02-17,17,19.6,17.2,1998,1990
1989-02-18,18,16.6,16.2,1989,2000
1989-02-19,19,17.6,16.8,1989,1997
1997-02-20,20,17.8,15,1997,1970
1997-02-21,21,18,15.6,1997,1990
1997-02-22,22,17,16.9,1997,2019
1967-02-23,23,18.4,17.6,1967,1990
1990-02-24,24,18.2,18,1990,2019
2019-02-25,25,19.2,16.8,2019,2011
2009-02-26,26,16.4,16.4,2009,2019
1960-02-27,27,19,18.9,1960,2019
1960-02-28,28,19.8,19.8,1960,1990
2012-02-29,29,17,16.4,2012,1960
1987-03-01,1,20.6,20.6,1987,1987
1987-03-02,2,19.6,18.6,1987,2008
1977-03-03,3,19.1,19,1977,1961
1960-03-04,4,22.4,19.2,1960,2003
1960-03-05,5,22.4,19.4,1960,1998
1998-03-06,6,20.2,18.2,1998,1987
2015-03-07,7,19.8,18.6,2015,1961
2017-03-08,8,21.9,19.2,2017,2000
2017-03-09,9,23.5,20.4,2017,2000
2017-03-10,10,24.2,21.6,2017,1981
2017-03-11,11,21.6,21.5,2017,1981
2003-03-12,12,22.6,21.8,2003,1989
2012-03-13,13,20.2,20,2012,2006
2012-03-14,14,21.4,20,2012,1961
2012-03-15,15,19.3,19.2,2012,2009
2009-03-16,16,21,18.6,2009,1997
1997-03-17,17,20.8,20.3,1997,1957
1957-03-18,18,22.8,20.4,1957,1961
2009-03-19,19,20.2,20,2009,2017
2002-03-20,20,21.8,21.4,2002,1988
1990-03-21,21,21,21,1990,2002
2002-03-22,22,21.4,21.2,2002,1990
2002-03-23,23,21,20.2,2002,2001
2002-03-24,24,21,20.1,2002,1967
