fecha,dia,primero,segundo,yearprimera,yearsegundo
1995-01-01,1,23,22.2,1995,2012
1960-01-02,2,23,22.4,1960,1994
1960-01-03,3,22.4,22,1960,2003
2016-01-04,4,24.1,22.5,2016,2014
1967-01-05,5,22,21.6,1967,1982
2012-01-06,6,25.8,21.3,2012,2014
1958-01-07,7,22.2,20.6,1958,1974
2016-01-08,8,23.2,23,2016,1999
1982-01-09,9,24.6,22.8,1982,1959
2013-01-10,10,21.6,21.4,2013,2004
2015-01-11,11,23.6,22.8,2015,1986
1995-01-12,12,22.4,22,1995,2014
2004-01-13,13,22.8,20,2004,1974
2019-01-14,14,21.9,21.2,2019,2016
1986-01-15,15,21.6,20.8,1986,1966
2004-01-16,16,21,20.6,2004,1950
1969-01-17,17,21,20,1969,1981
2005-01-18,18,21.4,20.6,2005,2013
1951-01-19,19,22.4,22.4,1951,1955
1966-01-20,20,25,23.2,1966,1981
1981-01-21,21,26.8,22.6,1981,1966
1966-01-22,22,23,23,1966,2005
1966-01-23,23,22.6,22.5,1966,1960
2004-01-24,24,22.4,21.6,2004,1966
2019-01-25,25,23.5,23,2019,1966
2014-01-26,26,23.8,22,2014,1995
1995-01-27,27,22,20.8,1995,2004
1968-01-28,28,26,25,1968,1961
1999-01-29,29,24.2,22.6,1999,1995
1983-01-30,30,24.8,24.4,1983,2013
1983-01-31,31,25.6,23.8,1983,1953
1953-02-01,1,24.4,24.4,1953,2013
1953-02-02,2,22.6,22.4,1953,1995
1997-02-03,3,23.4,22,1997,1961
1961-02-04,4,23.8,21.6,1961,1970
1961-02-05,5,25,23.2,1961,2002
1961-02-06,6,29.4,23.4,1961,1979
1961-02-07,7,30,24.9,1961,2019
1984-02-08,8,23.8,23,1984,1977
1984-02-09,9,24.2,24,1984,1966
1966-02-10,10,23,23,1966,2007
1950-02-11,11,25,23,1950,2016
2016-02-12,12,23.8,23.4,2016,1950
2005-02-13,13,24.4,24,2005,2001
2002-02-14,14,24.6,23.4,2002,1990
1995-02-15,15,26.4,22.8,1995,1980
2000-02-16,16,25.4,23.8,2000,1995
1995-02-17,17,25,24.4,1995,2000
1978-02-18,18,23.6,23,1978,1958
1971-02-19,19,22.8,22,1971,1978
1964-02-20,20,21.6,21.6,1964,1997
1999-02-21,21,24,22.4,1999,2002
1999-02-22,22,25,24.4,1999,2000
1986-02-23,23,25,23.6,1986,2016
1986-02-24,24,25.6,23.6,1986,1973
1995-02-25,25,28.4,24.6,1995,1997
2011-02-26,26,26.8,25,2011,1997
2002-02-27,27,25.8,25.6,2002,1971
2007-02-28,28,25.2,25,2007,1971
1960-02-29,29,23.8,20.2,1960,2008
2000-03-01,1,26,25.2,2000,1990
1987-03-02,2,30.6,25.6,1987,1982
1987-03-03,3,29.4,24.6,1987,2003
1987-03-04,4,29.4,24.2,1987,2003
1964-03-05,5,25,25,1964,2004
2001-03-06,6,24,23.2,2001,2003
2017-03-07,7,27.9,24.6,2017,1958
1998-03-08,8,29.6,25.8,1998,2008
1952-03-09,9,25.7,25.6,1952,1998
2017-03-10,10,26.7,26.2,2017,1983
2017-03-11,11,27.9,24.6,2017,2008
1981-03-12,12,30.4,28.2,1981,2015
1990-03-13,13,25.4,25.2,1990,1950
1958-03-14,14,27.6,24.4,1958,1991
1958-03-15,15,28.6,24.4,1958,1963
1952-03-16,16,26.6,25.6,1952,2008
1957-03-17,17,29,26.8,1957,1950
1988-03-18,18,27.2,27,1988,1963
1997-03-19,19,28.4,27.4,1997,1963
1997-03-20,20,29.2,27.2,1997,2017
1982-03-21,21,27.4,26.8,1982,1950
2001-03-22,22,27.4,26,2001,1952
1952-03-23,23,31.2,30,1952,1992
1951-03-24,24,30,28.2,1951,1952
1965-03-25,25,28,26.6,1965,2016
1988-03-26,26,31.4,27.4,1988,1981
2015-03-27,27,25.4,25,2015,1967
2015-03-28,28,30.4,30,2015,1966
2015-03-29,29,31,30,2015,1966
2015-03-30,30,29.3,28,2015,1957
1959-03-31,31,27,26.6,1959,1957
1980-04-01,1,32.4,27.8,1980,2006
1980-04-02,2,29.4,28.6,1980,1977
1977-04-03,3,27.4,26,1977,1985
1993-04-04,4,26.4,25.5,1993,1994
2001-04-05,5,27,26.4,2001,1994
2001-04-06,6,28.2,26,2001,2008
2004-04-07,7,28.4,25.8,2004,1973
2014-04-08,8,27.8,26.6,2014,1985
2011-04-09,9,32,31,2011,1993
2011-04-10,10,30.2,27.8,2011,1965
1960-04-11,11,30.8,30.6,1960,1983
2014-04-12,12,29.7,26.4,2014,2013
2017-04-13,13,29.5,28.4,2017,1996
2017-04-14,14,30.5,27,2017,1965
2017-04-15,15,32.3,28,2017,1966
1975-04-16,16,30.2,27.6,1975,1960
1960-04-17,17,29.4,27.8,1960,1956
1985-04-18,18,30,27.9,1985,2014
1959-04-19,19,29.8,29,1959,1966
1980-04-20,20,27.8,27.2,1980,2005
1952-04-21,21,30,30,1952,2005
1979-04-22,22,29.2,29,1979,2005
2001-04-23,23,30,29,2001,1969
1970-04-24,24,29.4,28.6,1970,1952
2002-04-25,25,33,30.2,2002,1992
2014-04-26,26,29,28,2014,1965
2002-04-27,27,31,30.6,2002,1966
1965-04-28,28,28.8,27.4,1965,1997
2015-04-29,29,29.1,29,2015,1977
1992-04-30,30,26.8,26.2,1992,1982
2010-05-01,1,29,28.2,2010,1991
1967-05-02,2,30,27.6,1967,1973
1965-05-03,3,29.4,29.3,1965,2015
2015-05-04,4,31.6,31.2,2015,1997
1958-05-05,5,29,28.6,1958,1961
1960-05-06,6,32,29,1960,1958
1999-05-07,7,29.8,29.6,1999,1973
1953-05-08,8,34.6,32.6,1953,2005
1962-05-09,9,33.6,33.6,1962,2013
2013-05-10,10,31.6,31,2013,1963
2007-05-11,11,33,32,2007,1958
1955-05-12,12,33,31.8,1955,1977
1999-05-13,13,30.6,29.2,1999,2007
1999-05-14,14,35,34.9,1999,2015
1955-05-15,15,33.2,30.6,1955,1958
1961-05-16,16,33.8,33,1961,1995
1961-05-17,17,34.8,33.8,1961,1995
1995-05-18,18,35,34.5,1995,1961
1995-05-19,19,33.6,33.3,1995,2015
1990-05-20,20,30.6,29,1990,1977
1958-05-21,21,33,29.6,1958,1997
2008-05-22,22,31.9,31.6,2008,2005
1974-05-23,23,33.6,30.6,1974,2013
2003-05-24,24,33.6,32,2003,2013
2002-05-25,25,33.6,32,2002,1968
2009-05-26,26,31.6,31.5,2009,2012
1964-05-27,27,32,31,1964,1999
2000-05-28,28,32.8,32.6,2000,1973
2014-05-29,29,32.1,31,2014,2006
2014-05-30,30,33.4,32,2014,2006
1953-05-31,31,32.6,31.8,1953,1954
2003-06-01,1,33,31.6,2003,1952
1976-06-02,2,34,31.1,1976,2014
2001-06-03,3,38.4,34.6,2001,1953
1987-06-04,4,34.6,34.4,1987,1988
2017-06-05,5,34.2,33,2017,1966
1956-06-06,6,33.6,33.4,1956,2010
1952-06-07,7,38.2,37.4,1952,2012
1952-06-08,8,35,33.6,1952,1968
2001-06-09,9,35,32.6,2001,1953
2016-06-10,10,36.6,36.4,2016,1998
2012-06-11,11,34.6,34.2,2012,1982
1983-06-12,12,41,32.6,1983,1982
2016-06-13,13,39.7,39.6,2016,1983
2016-06-14,14,38,36.4,2016,1997
2001-06-15,15,37,35.2,2001,2003
1965-06-16,16,38,35.6,1965,1953
1965-06-17,17,35,34.4,1965,1982
2011-06-18,18,37.2,33.4,2011,1966
1987-06-19,19,35.6,34.6,1987,1994
1959-06-20,20,37.6,36,1959,1966
2012-06-21,21,35.2,34.6,2012,1997
1965-06-22,22,39,36,1965,1985
1971-06-23,23,36.4,34.9,1971,2015
2003-06-24,24,36.6,36.2,2003,2009
1980-06-25,25,37,36.6,1980,2007
2001-06-26,26,40,39.4,2001,1989
1954-06-27,27,40.2,37.2,1954,1989
2002-06-28,28,38.8,37,2002,1970
1959-06-29,29,39,37,1959,2012
2005-06-30,30,37.2,35,2005,1993
1989-07-01,1,37,37,1989,2007
1989-07-02,2,41.8,40,1989,1970
1999-07-03,3,39.8,39.5,1999,2009
2009-07-04,4,40.6,39,2009,1955
1994-07-05,5,44,39.6,1994,2009
1994-07-06,6,43.6,37.4,1994,2008
2011-07-07,7,38.6,37.6,2011,2015
1952-07-08,8,40.3,39.3,1952,2015
1985-07-09,9,40.8,36.6,1985,1964
1950-07-10,10,43.8,40.2,1950,1957
1951-07-11,11,37.8,37.4,1951,1968
2016-07-12,12,38.8,37.6,2016,1961
2010-07-13,13,38,37.4,2010,1950
1950-07-14,14,40.8,40.8,1950,1983
1961-07-15,15,38.4,37.6,1961,1983
1975-07-16,16,36.8,36.6,1975,2018
2005-07-17,17,40.4,38.4,2005,2009
1978-07-18,18,44.2,39.6,1978,1981
1957-07-19,19,38,36.3,1957,2007
2018-07-20,20,37.9,36.8,2018,1988
2008-07-21,21,37.8,37,2008,2003
2006-07-22,22,41.6,40.8,2006,1951
1950-07-23,23,41,39.6,1950,1965
2009-07-24,24,41.8,41.2,2009,2015
1980-07-25,25,39.4,39.4,1980,2015
2008-07-26,26,40,38.1,2008,1955
1982-07-27,27,41.6,40.5,1982,2003
1956-07-28,28,39.6,38.2,1956,1954
1959-07-29,29,41.4,39.9,1959,2018
2015-07-30,30,39.6,39.4,2015,2009
1965-07-31,31,39,38.4,1965,1998
2006-08-01,1,42,39.8,2006,2008
1967-08-02,2,39.6,39.2,1967,1950
1988-08-03,3,42,41,1988,2000
2016-08-04,4,41.7,41,2016,1966
1985-08-05,5,40.6,38.9,1985,2016
2011-08-06,6,39.4,38.6,2011,2002
1974-08-07,7,39.8,39.8,1974,2008
1970-08-08,8,42.8,40.3,1970,2017
1953-08-09,9,44,42.6,1953,1976
2014-08-10,10,38.5,37.8,2014,1952
1958-08-11,11,41,40,1958,2014
2012-08-12,12,41.4,40,2012,2006
2014-08-13,13,38.4,37.6,2014,2015
1989-08-14,14,38.2,37.2,1989,1968
1990-08-15,15,38.4,38,1990,1968
1952-08-16,16,39.5,38.2,1952,1987
1995-08-17,17,39.8,39.2,1995,1952
1995-08-18,18,39.2,38,1995,1999
2016-08-19,19,39.2,36.9,2016,1952
2016-08-20,20,40.5,37.8,2016,1988
1966-08-21,21,37.6,36.6,1966,2000
1975-08-22,22,35.4,35.2,1975,1996
1980-08-23,23,41.6,40,1980,1994
2010-08-24,24,39.8,38.4,2010,2012
2012-08-25,25,38,37,2012,1973
1950-08-26,26,39,39,1950,1953
1998-08-27,27,38.4,38.2,1998,1992
2010-08-28,28,38.6,37,2010,1999
1988-08-29,29,37.6,37.5,1988,2007
2012-08-30,30,38.4,36.4,2012,2001
1991-08-31,31,37.6,36.6,1991,1951
1955-09-01,1,40,35.2,1955,1975
2000-09-02,2,38.6,34.8,2000,1998
1999-09-03,3,38.6,38.4,1999,2014
2014-09-04,4,38.1,38,2014,2017
2005-09-05,5,37.4,36.8,2005,2014
2014-09-06,6,34.6,34.4,2014,1974
1990-09-07,7,35.2,34.2,1990,2014
1970-09-08,8,36.6,35.8,1970,1991
1986-09-09,9,34.8,33.8,1986,2017
1984-09-10,10,36.2,36,1984,1983
2011-09-11,11,36.8,35.4,2011,1981
1981-09-12,12,35.6,35.6,1981,2017
1980-09-13,13,38.6,35.4,1980,1998
2014-09-14,14,34.6,33.6,2014,1972
2017-09-15,15,34.1,34,2017,1995
1962-09-16,16,36,34.4,1962,1983
1983-09-17,17,36.2,36,1983,1959
2011-09-18,18,35.5,35.2,2011,1984
1981-09-19,19,34.2,33.1,1981,2013
1953-09-20,20,33.2,32.2,1953,1997
1950-09-21,21,36.6,33.8,1950,1984
2015-09-22,22,36,34.4,2015,1968
1968-09-23,23,35.6,34.8,1968,1984
1968-09-24,24,34.2,34.2,1968,2018
2017-09-25,25,33.5,33.4,2017,1974
1957-09-26,26,35,34.2,1957,1958
2007-09-27,27,32,31.5,2007,1952
2007-09-28,28,31.6,31.4,2007,1974
2003-09-29,29,31.4,31,2003,1952
1978-09-30,30,34.4,33.4,1978,1987
2018-10-01,1,33.3,33,2018,2013
2009-10-02,2,32.6,32,2009,1967
1999-10-03,3,33,33,1999,2009
1985-10-04,4,32.6,30.2,1985,1982
1967-10-05,5,32,31.8,1967,1974
2017-10-06,6,30.5,30,2017,1967
2018-10-07,7,33.8,32,2018,1974
1983-10-08,8,34.6,32.6,1983,1952
2009-10-09,9,30.8,30,2009,2014
1952-10-10,10,34.8,31.2,1952,1983
1952-10-11,11,36,32,1952,1983
1997-10-12,12,32.8,32,1997,1952
1952-10-13,13,32.4,30.6,1952,1982
1971-10-14,14,35.8,28.6,1971,1952
1971-10-15,15,31,30.8,1971,1973
1971-10-16,16,30,28.8,1971,1983
1967-10-17,17,30,29.6,1967,2009
1998-10-18,18,30,28.4,1998,1971
2013-10-19,19,28.7,28.4,2013,1959
2013-10-20,20,28.5,28.1,2013,2014
1981-10-21,21,28.8,28.3,1981,2015
2014-10-22,22,36.3,29.4,2014,2007
2001-10-23,23,28.6,28.2,2001,2004
1968-10-24,24,28,27.6,1968,2009
1998-10-25,25,28.4,27,1998,1966
1998-10-26,26,28.8,28.4,1998,1954
1984-10-27,27,28.4,26.6,1984,1967
1974-10-28,28,27.4,26.5,1974,1963
1995-10-29,29,27,26.6,1995,2001
1954-10-30,30,27,26.4,1954,1952
2001-10-31,31,27.6,27.2,2001,1983
2006-11-01,1,30,26.2,2006,1977
1995-11-02,2,28,27.2,1995,2009
2013-11-03,3,28.5,28,2013,1995
1995-11-04,4,30.4,28.4,1995,2002
1985-11-05,5,26.4,25.4,1985,1950
1985-11-06,6,28.4,27,1985,1999
1985-11-07,7,28.8,28.8,1985,2009
1985-11-08,8,28.8,28.4,1985,2002
2002-11-09,9,27,26,2002,1985
2002-11-10,10,27.4,26.1,2002,2013
1998-11-11,11,27.4,26.4,1998,2009
1998-11-12,12,26.2,25.6,1998,2017
1992-11-13,13,25.4,25.2,1992,2017
1977-11-14,14,26.6,25.8,1977,1998
2009-11-15,15,25,24,2009,1977
1975-11-16,16,29,28,1975,2009
1995-11-17,17,26.4,26,1995,2009
1995-11-18,18,28.2,24.6,1995,1980
1995-11-19,19,26.2,24.2,1995,2016
1995-11-20,20,26,25.6,1995,1979
1975-11-21,21,24.6,23.6,1975,1972
1984-11-22,22,25.4,23,1984,1983
1960-11-23,23,23.6,23.3,1960,2014
1984-11-24,24,26.8,25,1984,1952
1960-11-25,25,24,23,1960,1996
2015-11-26,26,24.9,24.4,2015,2000
1983-11-27,27,25.6,25,1983,1974
1974-11-28,28,26,25.6,1974,1981
1981-11-29,29,24.2,23.6,1981,1974
1973-11-30,30,25.6,23.6,1973,1950
1973-12-01,1,24,24,1973,1996
1976-12-02,2,23.4,22.4,1976,1992
1950-12-03,3,23.4,22.4,1950,1976
1950-12-04,4,23.4,23,1950,2018
1994-12-05,5,22.4,22,1994,2018
1976-12-06,6,22.6,21.8,1976,1992
1976-12-07,7,22.6,22,1976,2007
1976-12-08,8,23.2,23,1976,2009
2010-12-09,9,23.4,22.8,2010,1978
1961-12-10,10,23.6,22.4,1961,1994
1951-12-11,11,22.6,21.6,1951,1979
1998-12-12,12,24.6,22.4,1998,1979
1978-12-13,13,23.4,23.2,1978,1981
1981-12-14,14,23.8,23.4,1981,2000
1981-12-15,15,23.2,22.4,1981,1958
2015-12-16,16,22.8,22.6,2015,1981
2015-12-17,17,22.7,22,2015,1987
2004-12-18,18,22,21,2004,2012
2015-12-19,19,21.3,20.3,2015,2014
2012-12-20,20,21.8,21.4,2012,2002
2011-12-21,21,22.5,21.6,2011,1989
2012-12-22,22,22.5,22.2,2012,1991
1991-12-23,23,23,21.8,1991,1954
2002-12-24,24,22.2,22,2002,2009
1974-12-25,25,23.6,22.8,1974,2002
1968-12-26,26,21.4,21,1968,1959
1959-12-27,27,22,21.4,1959,1999
1990-12-28,28,21.4,20.4,1990,1999
2009-12-29,29,22.4,21.6,2009,1979
2001-12-30,30,23.4,22.6,2001,1994
2015-12-31,31,24.1,23.2,2015,1994
