fecha,dia,primero,segundo,yearprimera,yearsegundo
1963-01-01,1,26,24.4,1963,1982
1970-01-02,2,24.4,24.3,1970,1996
1970-01-03,3,26.5,24.8,1970,1996
1982-01-04,4,24.6,24,1982,1969
2016-01-05,5,24.4,23.9,2016,2010
2011-01-06,6,25.9,24.7,2011,2010
1982-01-07,7,25.4,24.7,1982,1998
1996-01-08,8,26.2,26.2,1996,2014
1982-01-09,9,25,25,1982,1998
1998-01-10,10,26,24,1998,1970
1964-01-11,11,24.8,23.6,1964,2015
1998-01-12,12,25.3,25,1998,1956
1994-01-13,13,24.4,24,1994,1970
2016-01-14,14,26.6,24.4,2016,2007
2016-01-15,15,28.1,25,2016,1975
1977-01-16,16,27.2,25,1977,1998
1977-01-17,17,27,26.2,1977,2010
2010-01-18,18,29.5,24,2010,1970
1969-01-19,19,26,23.6,1969,1997
1969-01-20,20,25,23.6,1969,1985
1969-01-21,21,25,24.8,1969,1985
1996-01-22,22,24.8,24,1996,1953
2011-01-23,23,23.7,23.4,2011,2001
2001-01-24,24,26.4,24.6,2001,1966
1958-01-25,25,24.7,23.6,1958,2008
1979-01-26,26,24.6,24.5,1979,2016
1981-01-27,27,25,25,1981,1998
1966-01-28,28,27.2,25,1966,1997
1978-01-29,29,26.6,25,1978,1997
1996-01-30,30,25.4,24.2,1996,1998
2000-01-31,31,26,25.8,2000,1997
1998-02-01,1,25.8,25,1998,1997
2000-02-02,2,25.4,24,2000,1997
2010-02-03,3,24.5,24.4,2010,1998
2000-02-04,4,28.5,25,2000,1998
1985-02-05,5,27,26,1985,1998
1998-02-06,6,26.6,26.2,1998,1985
1990-02-07,7,27,26,1990,1957
1979-02-08,8,29.4,27.5,1979,1990
1955-02-09,9,24.5,24.2,1955,1966
1955-02-10,10,27,25.4,1955,1966
2001-02-11,11,25,25,2001,2019
1984-02-12,12,25.5,25.2,1984,2001
2002-02-13,13,26,24.6,2002,2001
2007-02-14,14,27,26,2007,1988
2007-02-15,15,27.8,26,2007,1966
2008-02-16,16,26.8,25.5,2008,1955
1978-02-17,17,29.2,26.6,1978,2017
1978-02-18,18,26.4,25.9,1978,2004
1990-02-19,19,28,27,1990,1998
1990-02-20,20,28,26.2,1990,1967
1990-02-21,21,27,26.8,1990,1997
1990-02-22,22,27.2,27,1990,1967
1967-02-23,23,27.6,27.2,1967,2019
1967-02-24,24,27.6,25.8,1967,2019
1998-02-25,25,25.2,23.1,1998,2003
2010-02-26,26,30.1,26.2,2010,1998
2010-02-27,27,30.9,24.2,2010,1961
1977-02-28,28,28,28,1977,1997
1952-02-29,29,23,21.6,1952,2008
2001-03-01,1,30.3,30.3,2001,2001
2001-03-02,2,30.5,29,2001,1998
1987-03-03,3,30.5,30,1987,1961
1961-03-04,4,30,29.4,1961,2000
1961-03-05,5,29.4,27.7,1961,2000
2001-03-06,6,31,26.2,2001,1997
1998-03-07,7,29,28,1998,2015
1989-03-08,8,28.7,27.4,1989,2017
1989-03-09,9,29.5,28.5,1989,1981
2017-03-10,10,29.3,28.4,2017,1981
1981-03-11,11,30.8,29.7,1981,2017
1981-03-12,12,30.4,30.2,1981,1997
2000-03-13,13,30.5,28.6,2000,1997
1967-03-14,14,27.4,25,1967,1987
1967-03-15,15,28.6,27.9,1967,2009
1951-03-16,16,27.6,26,1951,1990
1990-03-17,17,31,28,1990,1963
1963-03-18,18,31,30,1963,1997
2010-03-19,19,29.6,29,2010,1990
1990-03-20,20,29,26.6,1990,2002
1990-03-21,21,32.6,28.3,1990,2002
2001-03-22,22,31.9,30.4,2001,2002
2002-03-23,23,31,29,2002,1990
1951-03-24,24,34,28.5,1951,1955
1955-03-25,25,28.5,28.2,1955,1988
1955-03-26,26,28.5,28,1955,1990
1952-03-27,27,30.4,26.2,1952,1998
1965-03-28,28,28.6,27.6,1965,1978
1980-03-29,29,31.4,27,1980,1953
1953-03-30,30,29.2,25.6,1953,1995
1985-03-31,31,29,27.2,1985,1953
2006-04-01,1,29.9,27.3,2006,1953
1980-04-02,2,32.6,31.6,1980,2006
1985-04-03,3,30.6,29.8,1985,2008
1973-04-04,4,27,26.6,1973,1990
