fecha,dia,primero,segundo,yearprimera,yearsegundo
2004-01-01,1,20.9,20.6,2004,1996
2004-01-02,2,21,20.6,2004,1996
1998-01-03,3,21.6,21,1998,1988
1960-01-04,4,21.2,19.8,1960,2016
1999-01-05,5,22,21,1999,1960
1999-01-06,6,22.4,21.8,1999,1996
1996-01-07,7,21,19,1996,1979
2011-01-08,8,19.8,19.6,2011,1984
2004-01-09,9,21,19.7,2004,2014
1955-01-10,10,19.5,19.5,1955,2004
1998-01-11,11,20.6,20.3,1998,2017
1995-01-12,12,24.4,19.9,1995,2011
2016-01-13,13,19,18.6,2016,1984
1964-01-14,14,19.8,19.5,1964,2010
1996-01-15,15,21.2,20.1,1996,2004
2005-01-16,16,20.5,20,2005,1969
2017-01-17,17,21,20.8,2017,1983
2018-01-18,18,20.5,20,2018,1986
2008-01-19,19,22.1,19.5,2008,1998
2008-01-20,20,22.5,21,2008,2005
1981-01-21,21,21.4,20.4,1981,1997
1985-01-22,22,21.2,20,1985,1984
2016-01-23,23,21.6,20.5,2016,2003
2019-01-24,24,23.9,22.2,2019,1984
1980-01-25,25,21,21,1980,2014
2013-01-26,26,24.4,22.6,2013,1959
2014-01-27,27,21.2,21,2014,2019
1987-01-28,28,20.6,19.7,1987,2013
1965-01-29,29,21.8,19.8,1965,1985
1988-01-30,30,22.4,21.4,1988,1995
1983-01-31,31,23.8,21.8,1983,1995
1975-02-01,1,22,21,1975,1965
2004-02-02,2,21.7,21.2,2004,1985
1961-02-03,3,21.5,19.8,1961,2004
2003-02-04,4,21.7,20.2,2003,1985
2017-02-05,5,21.2,21,2017,2000
1996-02-06,6,23.4,21,1996,1972
1996-02-07,7,23.4,21.9,1996,2017
1996-02-08,8,22,21,1996,1990
1984-02-09,9,22.2,21,1984,2000
2016-02-10,10,21.1,20.4,2016,1995
2001-02-11,11,22,22,2001,2007
1990-02-12,12,22.2,22,1990,2017
1985-02-13,13,22.6,22.4,1985,1990
1958-02-14,14,25.5,21.2,1958,2007
1958-02-15,15,23.5,20.8,1958,1997
2007-02-16,16,25.2,21.8,2007,2000
1985-02-17,17,22,21.4,1985,2000
1995-02-18,18,22.5,21.8,1995,2000
1989-02-19,19,24.6,21,1989,1988
1995-02-20,20,21.4,20.8,1995,1988
1986-02-21,21,21.6,21,1986,1997
1978-02-22,22,23.6,22.3,1978,2017
2017-02-23,23,22.2,21.5,2017,1961
2007-02-24,24,21.1,21,2007,1961
2000-02-25,25,21,20.8,2000,1995
1973-02-26,26,23.4,23.4,1973,1994
2010-02-27,27,25,24.6,2010,1966
1960-02-28,28,25.7,24.2,1960,1997
1952-02-29,29,20.6,19,1952,1960
1987-03-01,1,24.6,24.6,1987,1987
1977-03-02,2,23,22.9,1977,2014
1987-03-03,3,32.4,25.2,1987,1977
1987-03-04,4,27,24.8,1987,1989
1977-03-05,5,27.2,25.7,1977,2003
1998-03-06,6,28.2,26,1998,2001
2007-03-07,7,24.2,22.1,2007,2017
2017-03-08,8,23.5,22.4,2017,2014
1998-03-09,9,24,22.2,1998,2001
2017-03-10,10,24.3,24,2017,1995
1990-03-11,11,26.2,24.5,1990,1957
1982-03-12,12,24.6,22.2,1982,2017
2008-03-13,13,25.3,23.6,2008,2003
1990-03-14,14,23.4,22.6,1990,2001
2009-03-15,15,25.3,24.4,2009,2012
1961-03-16,16,26,23.5,1961,2009
1961-03-17,17,26,24,1961,1988
1998-03-18,18,26.2,24.6,1998,1993
1998-03-19,19,24.6,23.5,1998,1961
1960-03-20,20,25,24.4,1960,1997
1985-03-21,21,24,24,1985,1988
1996-03-22,22,25.4,25.4,1996,2002
2001-03-23,23,25.4,24.8,2001,1993
1994-03-24,24,27.2,26.1,1994,1955
1994-03-25,25,27.4,26.5,1994,1955
1989-03-26,26,25.4,25.1,1989,2009
1965-03-27,27,25.5,25.4,1965,1988
1978-03-28,28,25.8,24.5,1978,1957
1997-03-29,29,24.4,24.2,1997,1965
1965-03-30,30,25.6,24.3,1965,2017
2005-03-31,31,26.5,25.6,2005,1999
2015-04-01,1,26.9,26.6,2015,2011
2006-04-02,2,26.5,24.8,2006,1980
1984-04-03,3,27.6,26.4,1984,2006
1999-04-04,4,27.8,26.6,1999,1997
1999-04-05,5,27.7,26.5,1999,1995
1999-04-06,6,28.8,28.2,1999,2011
2011-04-07,7,29.1,28,2011,2001
1987-04-08,8,26.2,25.5,1987,1960
2014-04-09,9,29.1,27.4,2014,1981
1995-04-10,10,28.2,25,1995,1983
1983-04-11,11,25,24.9,1983,2011
2011-04-12,12,25.3,24.7,2011,1960
2013-04-13,13,27.4,26.6,2013,2003
2013-04-14,14,27.6,27.5,2013,2014
1988-04-15,15,28.8,26.6,1988,1996
2017-04-16,16,26.4,26,2017,1983
2014-04-17,17,27.9,24.1,2014,2007
1988-04-18,18,28.2,28,1988,2017
1968-04-19,19,25.6,25.6,1968,1984
1952-04-20,20,28.4,26.6,1952,1992
1952-04-21,21,27.8,27.8,1952,2018
2018-04-22,22,28.8,25,2018,1964
2018-04-23,23,30.6,27.9,2018,2007
2009-04-24,24,29.7,29.4,2009,2018
1969-04-25,25,30.2,28.4,1969,2008
2008-04-26,26,28.9,28,2008,2010
2003-04-27,27,29,27.2,2003,2004
2010-04-28,28,28.6,28,2010,1997
2005-04-29,29,28.8,28.2,2005,2010
1997-04-30,30,29.6,29.2,1997,1995
1991-05-01,1,30.4,29,1991,1995
2006-05-02,2,28.5,27.8,2006,1995
1997-05-03,3,29.8,29.6,1997,2000
1982-05-04,4,31,29.6,1982,1961
2014-05-05,5,29.4,27.5,2014,1995
2014-05-06,6,30.1,29.4,2014,1989
2015-05-07,7,30.8,30.2,2015,1961
1961-05-08,8,31,29,1961,1965
2005-05-09,9,30.5,30.3,2005,1961
1958-05-10,10,34.8,32.8,1958,2012
2012-05-11,11,31.4,31.2,2012,1965
