fecha,dia,primero,segundo,yearprimera,yearsegundo
1975-01-01,1,16,15.4,1975,1989
2019-01-02,2,15.8,14,2019,1967
2015-01-03,3,16.9,13.7,2015,2019
1960-01-04,4,18.6,17.6,1960,2015
1960-01-05,5,17.6,17.3,1960,2013
1960-01-06,6,18.4,16.2,1960,1976
1976-01-07,7,18.4,16.2,1976,1957
1976-01-08,8,16.6,15.6,1976,2019
1976-01-09,9,15,14.7,1976,2015
2015-01-10,10,16.9,16.4,2015,1971
2007-01-11,11,13.2,13.1,2007,2017
2007-01-12,12,18.6,17,2007,1950
2007-01-13,13,17.6,16.6,2007,1976
1950-01-14,14,16.6,16.6,1950,2011
1968-01-15,15,15.6,15.4,1968,2019
1976-01-16,16,16,14.7,1976,1964
1976-01-17,17,15.6,13.2,1976,1983
1976-01-18,18,15.4,15,1976,2018
2007-01-19,19,16.4,15.6,2007,2006
2007-01-20,20,17.2,16.2,2007,2008
2008-01-21,21,15.6,15.4,2008,2005
1976-01-22,22,16.6,16.2,1976,2008
2018-01-23,23,15.9,15.6,2018,1969
2016-01-24,24,16.9,16,2016,1969
1959-01-25,25,15.8,15.6,1959,1969
1959-01-26,26,17.1,17,1959,1981
2008-01-27,27,15.8,15.6,2008,1962
2008-01-28,28,17.6,17,2008,1953
2002-01-29,29,16.4,16,2002,1953
1953-01-30,30,15.3,15,1953,1994
2000-01-31,31,16.6,15.8,2000,2013
1964-02-01,1,17,17,1964,1985
1964-02-02,2,20.2,19.2,1964,1985
1964-02-03,3,19.6,16.6,1964,1985
2000-02-04,4,18,18,2000,2004
1995-02-05,5,19,18.6,1995,2004
1995-02-06,6,19.2,18.2,1995,2011
1981-02-07,7,19.4,17.4,1981,1992
2008-02-08,8,18.2,18,2008,1981
1961-02-09,9,16.4,15.6,1961,2008
1961-02-10,10,20.7,15.2,1961,2002
1961-02-11,11,20.1,17,1961,2004
1961-02-12,12,20,19.2,1961,2001
1961-02-13,13,20.5,17.6,1961,2002
1961-02-14,14,19.6,19.4,1961,1998
1998-02-15,15,21.2,17.7,1998,2019
1998-02-16,16,20.8,19.4,1998,1958
1998-02-17,17,20.6,17.6,1998,1950
1950-02-18,18,19,19,1950,1998
1950-02-19,19,19.4,18.8,1950,1989
1989-02-20,20,17.4,17.2,1989,1997
1950-02-21,21,17.8,17.8,1950,1997
2019-02-22,22,19.5,19,2019,1967
2019-02-23,23,21.8,19.4,2019,1990
1990-02-24,24,20.2,18.9,1990,2019
2019-02-25,25,21.5,20.4,2019,2011
2019-02-26,26,20.2,18.4,2019,2000
2019-02-27,27,21.4,18.8,2019,1961
1997-02-28,28,21.2,20.4,1997,1960
2012-02-29,29,18.7,17.6,2012,1952
1952-03-01,1,20.2,19.4,1952,1987
1977-03-02,2,21.6,20.4,1977,2008
1977-03-03,3,22,21.4,1977,1997
1977-03-04,4,23.4,20.6,1977,1973
1977-03-05,5,23.2,22.2,1977,1960
1977-03-06,6,20,19.8,1977,2015
2015-03-07,7,22.9,20,2015,1992
2017-03-08,8,21.7,20,2017,1983
2017-03-09,9,24.4,23,2017,2000
2017-03-10,10,25.4,23.4,2017,1978
2017-03-11,11,23,21.8,2017,1957
1989-03-12,12,22.4,22,1989,1961
2012-03-13,13,22.1,21.6,2012,2009
2012-03-14,14,22.3,20.6,2012,2006
2012-03-15,15,22.2,21.3,2012,1957
1997-03-16,16,22,21.4,1997,1957
1997-03-17,17,23.6,23,1997,1957
1957-03-18,18,22.6,22.2,1957,1997
1983-03-19,19,23.4,22.5,1983,2017
1990-03-20,20,23.8,23,1990,2017
1983-03-21,21,23.6,23.4,1983,1990
1952-03-22,22,24.1,24,1952,2002
2002-03-23,23,23,22,2002,1951
1955-03-24,24,23.1,22.6,1955,1994
1950-03-25,25,22.8,21.6,1950,1994
1989-03-26,26,22.6,22.2,1989,1976
1989-03-27,27,20.6,20.2,1989,1998
1965-03-28,28,21.8,21.4,1965,1976
1976-03-29,29,23.6,21.3,1976,1953
1965-03-30,30,23,22.8,1965,2015
1976-03-31,31,23.4,23,1976,1980
1976-04-01,1,22.6,22.2,1976,1997
1995-04-02,2,22.2,21.4,1995,1972
1972-04-03,3,23,21.8,1972,1995
1999-04-04,4,22.6,22.3,1999,1954
1973-04-05,5,25.6,24.8,1973,1999
2011-04-06,6,25.1,24.8,2011,1973
2011-04-07,7,26.2,23,2011,1973
2011-04-08,8,27.6,23.4,2011,1950
2011-04-09,9,27.1,24.8,2011,2014
1995-04-10,10,25.2,23.4,1995,1950
1950-04-11,11,23.6,23.6,1950,1995
2017-04-12,12,25.3,23.2,2017,1995
1955-04-13,13,24.4,24.4,1955,2011
1955-04-14,14,26.6,24.4,1955,1977
1970-04-15,15,25,22.2,1970,1997
1970-04-16,16,25.4,24.1,1970,2014
1970-04-17,17,26.6,25.7,1970,2013
2014-04-18,18,24.6,24,2014,1970
2014-04-19,19,23.8,23.2,2014,1984
1984-04-20,20,25,24.4,1984,1992
1992-04-21,21,24,23.8,1992,1984
1970-04-22,22,24.6,24.2,1970,1984
2009-04-23,23,24.2,23.6,2009,1992
1984-04-24,24,25.2,24.8,1984,2018
1977-04-25,25,26.6,25.6,1977,2002
2002-04-26,26,24.8,24.6,2002,1992
2010-04-27,27,25.6,24.6,2010,1992
2010-04-28,28,26.2,26,2010,2005
1994-04-29,29,27,25.8,1994,2005
2005-04-30,30,25.8,25.6,2005,1958
1994-05-01,1,27,24.8,1994,1958
1994-05-02,2,26.8,26.2,1994,1958
1994-05-03,3,27,25.3,1994,1958
1958-05-04,4,26.2,25.2,1958,2008
2014-05-05,5,24.6,24.4,2014,1950
1964-05-06,6,27.7,26.6,1964,2009
1964-05-07,7,27.4,26.2,1964,1965
1965-05-08,8,27.6,26,1965,1961
1965-05-09,9,29.6,27.6,1965,1958
1965-05-10,10,27.8,27.1,1965,2012
1965-05-11,11,29.6,29.1,1965,2015
1965-05-12,12,30.4,30.4,1965,2015
2015-05-13,13,32.7,30.4,2015,1965
1965-05-14,14,29.2,28.8,1965,1961
1961-05-15,15,29,28.7,1961,1964
1964-05-16,16,30.2,28.2,1964,1992
