year,total
1950,91
1951,230
1952,199
1953,210
1954,487
1955,152
1956,609
1957,298
1958,285
1959,87
1960,168
1961,124
1962,289
1963,362
1964,167
1965,427
1966,256
1967,282
1968,161
1969,259
1970,378
1971,489
1972,487
1973,449
1974,506
1975,410
1976,258
1977,543
1978,399
1979,219
1980,467
1981,276
1982,122
1983,255
1984,391
1985,469
1986,298
1987,199
1988,226
1989,83
1990,132
1991,318
1992,227
1993,322
1994,193
1995,156
1996,158
1997,102
1998,102
1999,96
2000,93
2001,223
2002,89
2003,69
2004,129
2005,369
2006,104
2007,261
2008,147
2009,122
2010,179
2011,62
2012,160
2013,176
2014,40
2015,64
2016,57
2017,135
2018,106
