fecha,maxima,minima
2004-03-01,11.6,1.2
fecha,maxima,minima
1993-03-02,12,0.8
fecha,maxima,minima
2004-03-03,15,1
fecha,maxima,minima
1970-03-04,16,2
fecha,maxima,minima
1971-03-05,13.4,1
fecha,maxima,minima
1971-03-06,9.4,0.6
fecha,maxima,minima
1971-03-07,8.3,-0.4
fecha,maxima,minima
1955-03-08,11.4,0
fecha,maxima,minima
1964-03-09,11.2,0.7
fecha,maxima,minima
1955-03-10,5,-0.2
fecha,maxima,minima
1984-03-11,13,0.4
fecha,maxima,minima
1984-03-12,13.6,1.4
fecha,maxima,minima
1985-03-13,14.2,2.4
fecha,maxima,minima
1985-03-14,16.4,2.6
fecha,maxima,minima
1985-03-15,16.4,3
fecha,maxima,minima
1984-03-16,14.2,3.2
fecha,maxima,minima
1987-03-17,15.6,3.6
fecha,maxima,minima
1981-03-18,18.4,2.2
fecha,maxima,minima
1984-03-19,14.4,3.2
fecha,maxima,minima
1980-03-20,19.2,1.6
fecha,maxima,minima
1987-03-21,15.8,4.2
fecha,maxima,minima
1966-03-22,16.6,0.2
fecha,maxima,minima
1980-03-23,18.6,3.8
fecha,maxima,minima
1976-03-24,16.6,3.6
fecha,maxima,minima
1992-03-25,13.6,4.6
fecha,maxima,minima
1962-03-26,14.6,3.6
fecha,maxima,minima
1964-03-27,15.3,3.7
fecha,maxima,minima
1990-03-28,17.2,4.4
fecha,maxima,minima
2000-03-29,15.8,3.6
fecha,maxima,minima
1969-03-30,13.7,3.2
fecha,maxima,minima
1977-03-31,14,2
