year,temp
1950,12.6
1951,11.3
1952,11.6
1953,12.1
1954,11.2
1955,12.5
1956,10.3
1957,11.3
1958,11.9
1959,12
1960,11.7
1961,12.6
1962,11.3
1963,11.1
1964,11.7
1965,
1966,11.9
1967,11.7
1968,
1969,
1970,12
1971,11.3
1972,11
1973,
1974,11
1975,11.2
1976,11.8
1977,11.4
1978,11.7
1979,11.9
1980,11.8
1981,12.7
1982,12.2
1983,
1985,
1986,
1987,
1988,12
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,10.7
1997,
1998,11.2
1999,
2000,10.7
2001,11
2002,11.6
2003,
2004,10.8
2005,10.6
2006,
2007,10.4
2008,10.4
2009,11.3
2010,
2011,11.9
2012,
2013,
2014,
2015,11.6
2016,11.3
2017,12.2
2018,
2019,
2020,12.1
1950,12.6
1951,11.3
1952,11.6
1953,12.1
1954,11.2
1955,12.5
1956,10.3
1957,11.3
1958,11.9
1959,12
1960,11.7
1961,12.6
1962,11.3
1963,11.1
1964,11.7
1965,
1966,11.9
1967,11.7
1968,
1969,
1970,12
1971,11.3
1972,11
1973,
1974,11
1975,11.2
1976,11.8
1977,11.4
1978,11.7
1979,11.9
1980,11.8
1981,12.7
1982,12.2
1983,
1985,
1986,
1987,
1988,12
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,10.7
1997,
1998,11.2
1999,
2000,10.7
2001,11
2002,11.6
2003,
2004,10.8
2005,10.6
2006,
2007,10.4
2008,10.4
2009,11.3
2010,
2011,11.9
2012,
2013,
2014,
2015,11.6
2016,11.3
2017,12.2
2018,
2019,
2020,12.1
