year,total
1950,103
1951,51
1952,110
1953,118
1954,94
1955,159
1956,40
1957,83
1958,135
1959,72
1960,118
1961,219
1962,108
1963,36
1964,211
1965,182
1966,139
1967,109
1968,152
1969,57
1970,254
1971,67
1972,30
1973,46
1974,92
1975,81
1976,116
1977,166
1978,182
1979,150
1980,159
1981,321
1982,134
1983,306
1984,89
1985,278
1986,49
1987,360
1988,178
1989,221
1990,246
1991,184
1992,175
1993,87
1994,275
1995,330
1996,140
1997,279
1998,241
1999,221
2000,159
2001,319
2002,203
2003,338
2004,275
2005,258
2006,342
2007,226
2008,151
2009,281
2010,221
2011,395
2012,383
2013,204
2014,382
2015,583
2016,319
2017,574
2018,274
2019,378
2020,462
2021,360
2022,920
2023,1015
