year,total
1950,100
1951,235
1952,202
1953,219
1954,482
1955,154
1956,595
1957,291
1958,282
1959,84
1960,153
1961,125
1962,295
1963,346
1964,166
1965,415
1966,245
1967,262
1968,161
1969,258
1970,374
1971,493
1972,473
1973,426
1974,487
1975,386
1976,241
1977,514
1978,380
1979,206
1980,440
1981,258
1982,115
1983,242
1984,368
1985,455
1986,286
1987,183
1988,222
1989,72
1990,120
1991,324
1992,222
1993,313
1994,182
1995,152
1996,148
1997,108
1998,102
1999,94
2000,97
2001,226
2002,91
2003,63
2004,117
2005,368
2006,98
2007,249
2008,145
2009,116
2010,189
2011,63
2012,148
2013,172
2014,38
2015,65
2016,55
2017,139
2018,103
2019,78
2020,76
2021,126
2022,70
2023,54
2024,38
