fecha,maxima,minima
2012-01-01,18.2,5.4
1996-01-01,17.8,8.2
fecha,maxima,minima
2003-01-02,19.3,10.8
1960-01-02,17.5,6.6
fecha,maxima,minima
1998-01-03,19.6,4.5
2018-01-03,19.4,6.1
fecha,maxima,minima
2018-01-04,19.7,9.3
1960-01-04,17.4,6
fecha,maxima,minima
2018-01-05,18.1,11.7
2013-01-05,17.7,-0.5
fecha,maxima,minima
1958-01-06,18.6,6.8
2008-01-06,18.6,3.7
fecha,maxima,minima
2016-01-07,18.5,12.2
1982-01-07,18.4,8.6
fecha,maxima,minima
2016-01-08,20.6,13
1974-01-08,16.8,6.6
fecha,maxima,minima
1982-01-09,18,4.4
1991-01-09,17.8,8.5
fecha,maxima,minima
2016-01-10,19.8,12.5
1991-01-10,18.4,7.2
fecha,maxima,minima
1991-01-11,19,5.6
1974-01-11,18.3,4.2
fecha,maxima,minima
1994-01-12,18,4.5
1955-01-12,17.9,15
fecha,maxima,minima
1955-01-13,19.2,10.4
2004-01-13,16.9,12.6
fecha,maxima,minima
1955-01-14,18.6,12.2
2004-01-14,16.4,6.5
fecha,maxima,minima
1955-01-15,19.8,9.2
1974-01-15,18,6.8
fecha,maxima,minima
1955-01-16,17.4,9
1974-01-16,16.1,4
fecha,maxima,minima
1951-01-17,17,6.6
1955-01-17,17,8
fecha,maxima,minima
1969-01-18,17.8,5.6
2008-01-18,17.5,9.4
fecha,maxima,minima
2009-01-19,19.2,5.5
2007-01-19,18.4,4.4
fecha,maxima,minima
1959-01-20,19.6,5.4
1951-01-20,16.9,9.2
fecha,maxima,minima
1951-01-21,18.2,7.8
2018-01-21,17.9,11.8
fecha,maxima,minima
1966-01-22,18,11.2
1959-01-22,17.2,4.3
fecha,maxima,minima
2009-01-23,20,7
1971-01-23,17.6,2.2
fecha,maxima,minima
1980-01-24,19,9.2
1995-01-24,18.6,10
fecha,maxima,minima
1995-01-25,19.8,10.5
2014-01-25,18,10.5
fecha,maxima,minima
2004-01-26,19.2,7
1995-01-26,18.6,9.2
fecha,maxima,minima
2003-01-27,18.4,10.4
1979-01-27,17,8.6
fecha,maxima,minima
2002-01-28,17,1.5
1975-01-28,16.8,3.8
fecha,maxima,minima
1975-01-29,18,8.6
2015-01-29,16.7,5.5
fecha,maxima,minima
1975-01-30,17.8,5.4
1995-01-30,17.3,9.6
fecha,maxima,minima
2013-01-31,18.1,5.2
1975-01-31,17.7,5.3
fecha,maxima,minima
1983-02-01,19.8,1
2000-02-01,19.4,2.3
fecha,maxima,minima
2000-02-02,19.7,10.7
1964-02-02,17.7,3.6
fecha,maxima,minima
1964-02-03,18.8,-1.8
1981-02-03,17,-2.2
fecha,maxima,minima
1980-02-04,19.4,5
1955-02-04,17.2,10
fecha,maxima,minima
2002-02-05,20.4,4
1980-02-05,19.5,6
fecha,maxima,minima
1980-02-06,19,4.2
1979-02-06,18.2,8.2
fecha,maxima,minima
2001-02-07,21,8.4
2008-02-07,17.5,2.2
fecha,maxima,minima
1987-02-08,20.6,9.5
1966-02-08,19.2,11.6
fecha,maxima,minima
1977-02-09,19.6,7
1985-02-09,19.4,9.4
fecha,maxima,minima
2019-02-10,18.9,6.9
1987-02-10,18.8,6.8
fecha,maxima,minima
2007-02-11,20,10.6
1961-02-11,18.8,0.8
fecha,maxima,minima
1997-02-12,21.4,8
1961-02-12,19.4,4.5
fecha,maxima,minima
2016-02-13,21.9,11.2
2014-02-13,19.8,9.5
fecha,maxima,minima
2014-02-14,22.3,10
1958-02-14,20.9,5.2
fecha,maxima,minima
1995-02-15,22,11.5
1958-02-15,20.8,7.1
fecha,maxima,minima
1958-02-16,21,6
1995-02-16,21,10.2
fecha,maxima,minima
1995-02-17,21.8,8.6
1958-02-17,20.3,5.8
fecha,maxima,minima
1978-02-18,22.5,10
1989-02-18,20,2
fecha,maxima,minima
1990-02-19,20.4,5.4
1978-02-19,19.4,11.6
fecha,maxima,minima
1978-02-20,19.4,11
1967-02-20,19.2,10.7
fecha,maxima,minima
1967-02-21,20.2,7.9
1997-02-21,18.8,3.9
fecha,maxima,minima
2019-02-22,20.6,1.7
2008-02-22,19,5
fecha,maxima,minima
2019-02-23,23.1,2.3
1990-02-23,20.7,5.2
fecha,maxima,minima
1990-02-24,22.2,5.4
1995-02-24,20.3,5
fecha,maxima,minima
2011-02-25,20.7,6.3
1960-02-25,20.6,6
fecha,maxima,minima
2019-02-26,21.4,3
1994-02-26,20.6,8
fecha,maxima,minima
1990-02-27,22,7
2000-02-27,20.8,1.9
fecha,maxima,minima
1960-02-28,21.4,8.2
1990-02-28,21,10.4
fecha,maxima,minima
1960-02-29,22.5,8.6
2008-02-29,20.2,10.3
fecha,maxima,minima
1987-03-01,22.2,11
1987-03-01,22.2,11
fecha,maxima,minima
1997-03-02,23.1,4.3
2008-03-02,22.4,7.5
fecha,maxima,minima
1977-03-03,24.2,6.2
2007-03-03,22.1,11
fecha,maxima,minima
2007-03-04,25.5,7.6
1977-03-04,24,7.6
fecha,maxima,minima
1960-03-05,23.7,5.6
1997-03-05,21.8,4.9
fecha,maxima,minima
1977-03-06,22.4,6
1997-03-06,21.6,11
fecha,maxima,minima
1952-03-07,22.8,1.8
1992-03-07,22.4,1.8
fecha,maxima,minima
1952-03-08,24.7,3.2
2015-03-08,21.8,4.6
fecha,maxima,minima
2017-03-09,25.7,6.9
2000-03-09,23.4,2.6
fecha,maxima,minima
2017-03-10,27.3,11.3
1957-03-10,23.8,6.2
fecha,maxima,minima
2017-03-11,25.2,7.8
2015-03-11,24.5,5
fecha,maxima,minima
2000-03-12,23.6,6.6
1989-03-12,23.5,6
fecha,maxima,minima
2012-03-13,24.5,3.6
1997-03-13,23.2,1.8
fecha,maxima,minima
2012-03-14,25,5
2008-03-14,24,6.9
fecha,maxima,minima
2012-03-15,25,5.8
2008-03-15,23.8,11.4
fecha,maxima,minima
1957-03-16,24.7,3
2012-03-16,23.3,6.1
fecha,maxima,minima
2014-03-17,25.3,5
1957-03-17,25.2,8
fecha,maxima,minima
1997-03-18,26.1,6.4
1957-03-18,25,9.6
fecha,maxima,minima
1957-03-19,28.3,5.9
1995-03-19,25.5,3.2
fecha,maxima,minima
2005-03-20,25.3,9
2002-03-20,25.1,9.4
fecha,maxima,minima
2002-03-21,27,9.5
1990-03-21,26.5,7.5
fecha,maxima,minima
1990-03-22,27.3,8.8
2001-03-22,27.3,14.8
fecha,maxima,minima
2002-03-23,26.8,13.6
2001-03-23,26.4,10.8
fecha,maxima,minima
1955-03-24,27.6,6.6
1981-03-24,26.6,14
fecha,maxima,minima
1981-03-25,28,10.4
1955-03-25,27.8,9.6
fecha,maxima,minima
1989-03-26,26.5,6.2
2006-03-26,26.4,10.3
fecha,maxima,minima
1965-03-27,24.8,6
2006-03-27,24.5,11.2
fecha,maxima,minima
1957-03-28,25.6,6.8
1978-03-28,24,5.4
fecha,maxima,minima
1957-03-29,25,6.5
1965-03-29,24.4,4.4
fecha,maxima,minima
2012-03-30,25.6,10
2016-03-30,24.8,8
fecha,maxima,minima
2006-03-31,27,11.7
1980-03-31,26.2,9.6
fecha,maxima,minima
1985-04-01,26.4,7.8
2011-04-01,26.4,9.6
fecha,maxima,minima
1985-04-02,26.6,9.4
2011-04-02,26.6,11
fecha,maxima,minima
1985-04-03,28.4,9.5
1953-04-03,26.8,8.8
fecha,maxima,minima
1972-04-04,27,11.2
1999-04-04,25.3,10.8
fecha,maxima,minima
1999-04-05,26.8,9.2
1955-04-05,26.7,3.8
