fecha,primero,yearprimera
2006-07-12,37.6,2006
2003-07-13,36.4,2003
1994-07-14,35.6,1994
2005-07-15,36.9,2005
2005-07-16,36.3,2005
2005-07-17,36.2,2005
2006-07-12,37.6,2006
2003-07-13,36.4,2003
1994-07-14,35.6,1994
2005-07-15,36.9,2005
2005-07-16,36.3,2005
2005-07-17,36.2,2005
