fecha,primero,yearprimera
1966-07-12,41.8,1966
2017-07-13,43.7,2017
2017-07-14,42.3,2017
1978-07-15,40,1978
1978-07-16,41,1978
1978-07-17,41.8,1978
1966-07-12,41.8,1966
2017-07-13,43.7,2017
2017-07-14,42.3,2017
1978-07-15,40,1978
1978-07-16,41,1978
1978-07-17,41.8,1978
