fecha,primero,yearprimera
2017-07-12,40.6,2017
2017-07-13,40.8,2017
1978-07-14,39.8,1978
1978-07-15,41,1978
1978-07-16,41.4,1978
1978-07-17,42.6,1978
2017-07-12,40.6,2017
2017-07-13,40.8,2017
1978-07-14,39.8,1978
1978-07-15,41,1978
1978-07-16,41.4,1978
1978-07-17,42.6,1978
