fecha,primero,yearprimera
1961-07-12,40.5,1961
1959-07-13,33.5,1959
2009-07-14,37.9,2009
1962-07-15,35.6,1962
1950-07-16,34.8,1950
1975-07-17,37.5,1975
1961-07-12,40.5,1961
1959-07-13,33.5,1959
2009-07-14,37.9,2009
1962-07-15,35.6,1962
1950-07-16,34.8,1950
1975-07-17,37.5,1975
