fecha,primero,yearprimera
2019-07-12,39,2019
2017-07-13,39,2017
2017-07-14,38.9,2017
2015-07-15,37.8,2015
1978-07-16,37.8,1978
1978-07-17,37.4,1978
2019-07-12,39,2019
2017-07-13,39,2017
2017-07-14,38.9,2017
2015-07-15,37.8,2015
1978-07-16,37.8,1978
1978-07-17,37.4,1978
