fecha,primero,yearprimera
1991-07-12,37.2,1991
1985-07-13,37.8,1985
2005-07-14,37.6,2005
1994-07-15,38.6,1994
1995-07-16,39.2,1995
2015-07-17,38.7,2015
1991-07-12,37.2,1991
1985-07-13,37.8,1985
2005-07-14,37.6,2005
1994-07-15,38.6,1994
1995-07-16,39.2,1995
2015-07-17,38.7,2015
