year,total
1950,0
1951,0
1952,4
1953,0
1954,1
1955,0
1956,0
1957,5
1958,1
1959,2
1960,0
1961,0
1962,3
1963,0
1964,1
1965,0
1966,0
1967,5
1968,1
1969,0
1970,1
1971,0
1972,0
1973,2
1974,1
1975,6
1976,3
1977,0
1978,4
1979,2
1980,2
1981,3
1982,2
1983,0
1984,3
1985,1
1986,0
1987,0
1988,3
1989,4
1990,1
1991,6
1992,3
1993,1
1994,6
1995,11
1996,1
1997,0
1998,3
1999,3
2000,3
2001,0
2002,0
2003,3
2004,8
2005,1
2006,4
2007,3
2008,0
2009,2
2010,5
2011,2
2012,4
2013,4
2014,1
2015,6
2016,4
2017,8
2018,6
2019,0
