year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,3
1958,2
1959,4
1960,0
1961,1
1962,6
1963,0
1964,3
1965,3
1966,5
1967,2
1968,11
1969,0
1970,1
1971,0
1972,0
1973,2
1974,5
1975,2
1976,2
1977,0
1978,4
1979,4
1980,4
1981,7
1982,2
1983,1
1984,0
1985,3
1986,1
1987,4
1988,7
1989,8
1990,9
1991,14
1992,10
1993,5
1994,1
1995,10
1996,0
1997,0
1998,5
1999,4
2000,4
2001,2
2002,2
2003,19
2004,6
2005,4
2006,6
2007,4
2008,1
2009,8
2010,8
2011,2
2012,7
2013,7
2014,0
2015,4
2016,16
2017,13
2018,7
2019,0
