year,total
1950,0
1951,0
1952,1
1953,1
1954,0
1955,0
1956,0
1957,0
1958,2
1959,0
1960,0
1961,0
1962,1
1963,0
1964,0
1965,3
1966,4
1967,3
1968,1
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,4
1976,0
1977,0
1978,3
1979,1
1980,1
1981,1
1982,2
1983,0
1984,0
1985,1
1986,2
1987,1
1988,0
1989,1
1990,0
1991,0
1992,0
1993,1
1994,7
1995,3
1996,0
1997,0
1998,0
1999,1
2000,1
2001,2
2002,0
2003,3
2004,3
2005,4
2006,1
2007,0
2008,0
2009,2
2010,3
2011,0
2012,5
2013,0
2014,0
2015,7
2016,3
2017,7
2018,0
2019,1
