year,total
2017,5023
2015,4708
2019,4404
1995,4035
2011,3941
2009,3791
2014,3668
1997,3609
2016,3601
2012,3592
2006,3592
1994,3561
2003,3502
1989,3380
1998,3347
2018,3345
1981,3138
2005,3136
2004,3091
2002,3031
1990,2992
2000,2977
2001,2919
1985,2904
1983,2886
1987,2870
2013,2813
2007,2783
1961,2760
1992,2668
2008,2602
2010,2559
1964,2549
1999,2500
1991,2441
1988,2402
1996,2387
1970,2201
1980,2121
1968,2100
1978,2085
1955,2001
1982,1854
1967,1837
1977,1835
1979,1819
1966,1804
1962,1800
1974,1755
1993,1742
1975,1719
1965,1706
1986,1702
1958,1665
1976,1611
1953,1594
1950,1561
1973,1543
1960,1538
1957,1450
1984,1421
1952,1367
1954,1336
1971,1295
1963,1172
1969,1150
1959,1000
1956,882
1951,848
1972,730
