fecha,maxima,minima,tmedia
1951-11-01,23,18.2,20.6
1952-11-01,25.2,20,22.6
1953-11-01,23.5,18,20.8
1954-11-01,24.5,15.2,19.8
1955-11-01,25,16,20.5
1956-11-01,24,16.8,20.4
1957-11-01,24.5,16.6,20.6
1958-11-01,23.3,18,20.6
1961-11-01,24.2,18,21.1
1962-11-01,23.5,19.5,21.5
1963-11-01,24.3,15.6,20
1964-11-01,24,18,21
1965-11-01,23.7,19.2,21.4
1966-11-01,28,21.6,24.8
1967-11-01,23.8,19.2,21.5
1968-11-01,26.5,17.6,22
1969-11-01,24.2,20,22.1
1970-11-01,23.6,18.5,21
1971-11-01,24,19.8,21.9
1972-11-01,22.8,17.2,20
1973-11-01,26.6,17,21.8
1974-11-01,22.4,14.6,18.5
1975-11-01,24,20,22
1976-11-01,22.2,18,20.1
1977-11-01,24.7,18.6,21.6
1978-11-01,24,18,21
1979-11-01,24,19.4,21.7
1980-11-01,24.6,19.4,22
1981-11-01,25,20.4,22.7
1982-11-01,24,19.4,21.7
1983-11-01,25.6,21.4,23.5
1984-11-01,25.2,17,21.1
1985-11-01,28,17,22.5
1986-11-01,24.2,19.5,21.8
1987-11-01,25,18.6,21.8
1988-11-01,26,19,22.5
1989-11-01,28,22,25
1990-11-01,25.5,18.8,22.2
1991-11-01,26,18,22
1992-11-01,23,17.4,20.2
1993-11-01,23.8,17.4,20.6
1994-11-01,24.2,18,21.1
1995-11-01,30.2,21,25.6
1996-11-01,25,20,22.5
1997-11-01,29,20,24.5
1998-11-01,29.3,25,27.2
1999-11-01,29.2,23.9,26.6
2000-11-01,24.1,19.4,21.8
2001-11-01,28.6,22.2,25.4
2002-11-01,25.4,20.8,23.1
2003-11-01,22.2,17.3,19.8
2004-11-01,24.8,19,21.9
2005-11-01,25.5,19.5,22.5
2006-11-01,26.8,20,23.4
2007-11-01,24.2,18.5,21.4
2008-11-01,21.4,16.3,18.8
2009-11-01,27.5,22.7,25.1
2010-11-01,24.5,19.2,21.8
2011-11-01,24.6,18.6,21.6
2012-11-01,28.5,23.5,26
2013-11-01,24.5,18.4,21.4
2014-11-01,27.9,22.1,25
2015-11-01,22.8,17.9,20.4
2016-11-01,25.2,20.7,23
2017-11-01,24.6,19.6,22.1
2018-11-01,25,18.5,21.8
1951-11-02,23.5,17.2,20.4
1952-11-02,24,19,21.5
1953-11-02,24.6,18.9,21.8
1954-11-02,27,15.5,21.2
1955-11-02,25,16.1,20.6
1956-11-02,22.5,15,18.8
1957-11-02,23.5,17.6,20.6
1958-11-02,24.4,16,20.2
1961-11-02,23.4,17,20.2
1962-11-02,24,18,21
1963-11-02,25.3,15,20.2
1964-11-02,24.2,16,20.1
1965-11-02,24.4,18.8,21.6
1966-11-02,27,19.5,23.2
1967-11-02,24,18.5,21.2
1968-11-02,26.6,19.2,22.9
1969-11-02,23.5,19,21.2
1970-11-02,24.4,20.2,22.3
1971-11-02,25,19,22
1972-11-02,22,18.5,20.2
1973-11-02,24,18.6,21.3
1974-11-02,21.8,15.2,18.5
1975-11-02,22,19,20.5
1976-11-02,22.4,19.2,20.8
1977-11-02,24.5,20,22.2
1978-11-02,28,18.8,23.4
1979-11-02,24,20,22
1980-11-02,25,17.6,21.3
1981-11-02,25.4,19,22.2
1982-11-02,23.8,18.4,21.1
1983-11-02,25.6,20.6,23.1
1984-11-02,24.5,17,20.8
1985-11-02,26.6,20,23.3
1986-11-02,23,18,20.5
1987-11-02,27.6,18,22.8
1988-11-02,26,17.8,21.9
1989-11-02,25.4,21.4,23.4
1990-11-02,27.7,19,23.4
1991-11-02,27,18,22.5
1992-11-02,22.4,18.2,20.3
1993-11-02,23,17,20
1994-11-02,24.2,18.2,21.2
1995-11-02,24.8,19.2,22
1996-11-02,26.2,19.4,22.8
1997-11-02,30.4,23.3,26.8
1998-11-02,29.3,21,25.2
1999-11-02,26.2,22.6,24.4
2000-11-02,24.4,19.2,21.8
2001-11-02,26.3,21.2,23.8
2002-11-02,26.7,21.6,24.2
2003-11-02,23.2,18.2,20.7
2004-11-02,24.3,19.6,22
2005-11-02,24.8,18.3,21.6
2006-11-02,27.7,21.1,24.4
2007-11-02,23.5,18.4,21
2008-11-02,21,14.3,17.6
2009-11-02,26.5,22.6,24.6
2010-11-02,25,19.6,22.3
2011-11-02,24.5,17.1,20.8
2012-11-02,26.3,22.3,24.3
2013-11-02,25.4,17.1,21.2
2014-11-02,27.6,23,25.3
2015-11-02,24.7,16.5,20.6
2016-11-02,24.8,20.7,22.8
2017-11-02,24.4,19,21.7
2018-11-02,24.1,19.7,21.9
1951-11-03,23.6,17.6,20.6
1952-11-03,23.4,18,20.7
1953-11-03,22.7,18.6,20.6
1954-11-03,28,16.2,22.1
1955-11-03,24.8,16.4,20.6
1956-11-03,23,19,21
1957-11-03,22.5,17,19.8
1958-11-03,24,16.6,20.3
1961-11-03,23,18.8,20.9
1962-11-03,22.3,16.8,19.6
1963-11-03,24.3,15.8,20
1964-11-03,26.3,20,23.2
1965-11-03,21.8,17.8,19.8
1966-11-03,27,18.8,22.9
1967-11-03,23.3,19.4,21.4
1968-11-03,24.6,17.9,21.2
1969-11-03,25,18.5,21.8
1970-11-03,24.5,18.8,21.6
1971-11-03,25,18.2,21.6
1972-11-03,23,18,20.5
1973-11-03,24.6,17.6,21.1
1974-11-03,21,16,18.5
1975-11-03,23.6,19,21.3
1976-11-03,22.8,18.8,20.8
1977-11-03,23.4,18,20.7
1978-11-03,24.6,19.4,22
1979-11-03,23.4,19,21.2
1980-11-03,21.8,17.6,19.7
1981-11-03,23.2,16.4,19.8
1982-11-03,22.6,18.4,20.5
1983-11-03,24.6,18.6,21.6
1984-11-03,25.6,17.9,21.8
1985-11-03,24.6,19.4,22
1986-11-03,24,19.4,21.7
1987-11-03,26.6,16.6,21.6
1988-11-03,26,17.4,21.7
1989-11-03,24.7,21,22.8
1990-11-03,27.5,19.6,23.6
1991-11-03,29.4,19.8,24.6
1992-11-03,23,17.5,20.2
