year,total
1950,10
1951,2
1952,9
1953,4
1954,12
1955,9
1956,7
1957,8
1958,1
1959,10
1960,2
1961,11
1962,12
1963,4
1964,8
1965,8
1966,12
1967,7
1968,10
1969,7
1970,9
1971,8
1972,0
1973,5
1974,5
1975,23
1976,19
1977,0
1978,12
1979,11
1980,17
1981,11
1982,13
1983,18
1984,4
1985,6
1986,1
1987,15
1988,7
1989,48
1990,22
1991,23
1992,15
1993,20
1994,35
1995,34
1996,6
1997,4
1998,20
1999,23
2000,5
2001,22
2002,4
2003,94
2004,56
2005,19
2006,31
2007,16
2008,24
2009,31
2010,57
2011,31
2012,47
2013,15
2014,30
2015,142
2016,39
2017,45
2018,50
2019,45
2020,58
2021,48
2022,119
2023,102
