name,year,value,lastValue,rank
Zaragoza,1950,0,0,1
Zaragoza,1951,1,0,2
Zaragoza,1952,1,1,3
Zaragoza,1953,1,1,1
Zaragoza,1954,1,1,2
Zaragoza,1955,1,1,3
Zaragoza,1956,1,1,1
Zaragoza,1957,1,1,2
Zaragoza,1958,1,1,3
Zaragoza,1959,1,1,1
Zaragoza,1960,1,1,2
Zaragoza,1961,1,1,3
Zaragoza,1962,1,1,1
Zaragoza,1963,1,1,2
Zaragoza,1964,1,1,3
Zaragoza,1965,3,1,1
Zaragoza,1966,3,3,2
Zaragoza,1967,4,3,3
Zaragoza,1968,4,4,1
Zaragoza,1969,4,4,2
Zaragoza,1970,4,4,3
Zaragoza,1971,4,4,1
Zaragoza,1972,4,4,2
Zaragoza,1973,4,4,3
Zaragoza,1974,4,4,1
Zaragoza,1975,4,4,2
Zaragoza,1976,4,4,3
Zaragoza,1977,4,4,1
Zaragoza,1978,6,4,2
Zaragoza,1979,6,6,3
Zaragoza,1980,6,6,1
Zaragoza,1981,6,6,2
Zaragoza,1982,8,6,3
Zaragoza,1983,9,8,1
Zaragoza,1984,9,9,2
Zaragoza,1985,9,9,3
Zaragoza,1986,9,9,1
Zaragoza,1987,12,9,2
Zaragoza,1988,12,12,3
Zaragoza,1989,12,12,1
Zaragoza,1990,12,12,2
Zaragoza,1991,12,12,3
Zaragoza,1992,12,12,1
Zaragoza,1993,12,12,2
Zaragoza,1994,13,12,3
Zaragoza,1995,14,13,1
Zaragoza,1996,14,14,2
Zaragoza,1997,14,14,3
Zaragoza,1998,14,14,1
Zaragoza,1999,14,14,2
Zaragoza,2000,14,14,3
Zaragoza,2001,16,14,1
Zaragoza,2002,16,16,2
Zaragoza,2003,16,16,3
Zaragoza,2004,16,16,1
Zaragoza,2005,17,16,2
Zaragoza,2006,17,17,3
Zaragoza,2007,17,17,1
Zaragoza,2008,17,17,2
Zaragoza,2009,18,17,3
Zaragoza,2010,20,18,1
Zaragoza,2011,21,20,2
Zaragoza,2012,27,21,3
Zaragoza,2013,27,27,1
Zaragoza,2014,27,27,2
Zaragoza,2015,30,27,3
Zaragoza,2016,31,30,1
Zaragoza,2017,32,31,2
Zaragoza,2018,32,32,3
Zaragoza,2019,36,36,1
