year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,3
1961,3
1962,12
1963,2
1964,7
1965,19
1966,8
1967,9
1968,13
1969,6
1970,5
1971,1
1972,0
1973,7
1974,8
1975,12
1976,5
1977,0
1978,9
1979,8
1980,9
1981,9
1982,0
1983,0
1984,0
1985,0
1986,3
1987,4
1988,13
1989,19
1990,15
1991,25
1992,19
1993,16
1994,23
1995,18
1996,5
1997,3
1998,16
1999,13
2000,15
2001,7
2002,4
2003,23
2004,16
2005,13
2006,27
2007,9
2008,8
2009,17
2010,11
2011,2
2012,19
2013,15
2014,9
2015,26
2016,20
2017,37
2018,15
2019,1
