year,total
1950,0
1951,1
1952,1
1953,0
1954,0
1955,0
1956,0
1957,1
1958,2
1959,2
1960,0
1961,0
1962,1
1963,0
1964,0
1965,1
1966,1
1967,0
1968,1
1969,0
1970,0
1971,0
1972,0
1973,1
1974,1
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,3
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,3
1989,4
1990,5
1991,7
1992,3
1993,1
1994,0
1995,5
1996,0
1997,0
1998,3
1999,1
2000,1
2001,0
2002,0
2003,8
2004,4
2005,3
2006,3
2007,1
2008,0
2009,0
2010,1
2011,1
2012,3
2013,0
2014,0
2015,3
2016,2
2017,7
2018,5
2019,0
