year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,1
1958,4
1959,3
1960,0
1961,0
1962,1
1963,0
1964,1
1965,2
1966,8
1967,4
1968,1
1969,6
1970,3
1971,0
1972,0
1973,1
1974,0
1975,1
1976,0
1977,0
1978,4
1979,1
1980,0
1981,2
1982,0
1983,0
1984,1
1985,1
1986,0
1987,1
1988,3
1989,3
1990,0
1991,4
1992,0
1993,2
1994,1
1995,7
1996,1
1997,0
1998,0
1999,3
2000,1
2001,2
2002,0
2003,4
2004,5
2005,3
2006,1
2007,1
2008,0
2009,1
2010,1
2011,1
2012,4
2013,0
2014,0
2015,8
2016,0
2017,6
2018,3
2019,2
