name,year,value,lastValue,rank
Albacete,1950,0,0,1
Albacete,1951,1,0,2
Albacete,1952,1,1,3
Albacete,1953,1,1,1
Albacete,1954,1,1,2
Albacete,1955,1,1,3
Albacete,1956,1,1,1
Albacete,1957,1,1,2
Albacete,1958,1,1,3
Albacete,1959,1,1,1
Albacete,1960,1,1,2
Albacete,1961,1,1,3
Albacete,1962,1,1,1
Albacete,1963,1,1,2
Albacete,1964,1,1,3
Albacete,1965,1,1,1
Albacete,1966,1,1,2
Albacete,1967,3,1,3
Albacete,1968,3,3,1
Albacete,1969,3,3,2
Albacete,1970,3,3,3
Albacete,1971,3,3,1
Albacete,1972,3,3,2
Albacete,1973,4,3,3
Albacete,1974,4,4,1
Albacete,1975,5,4,2
Albacete,1976,6,5,3
Albacete,1977,6,6,1
Albacete,1978,9,6,2
Albacete,1979,10,9,3
Albacete,1980,10,10,1
Albacete,1981,10,10,2
Albacete,1982,13,10,3
Albacete,1983,13,13,1
Albacete,1984,14,13,2
Albacete,1985,13,13,3
Albacete,1986,13,13,1
Albacete,1987,13,13,2
Albacete,1988,13,13,3
Albacete,1989,13,13,1
Albacete,1990,13,13,2
Albacete,1991,13,13,3
Albacete,1992,13,13,1
Albacete,1993,13,13,2
Albacete,1994,15,13,3
Albacete,1995,15,15,1
Albacete,1996,15,15,2
Albacete,1997,15,15,3
Albacete,1998,15,15,1
Albacete,1999,16,15,2
Albacete,2000,16,16,3
Albacete,2001,16,16,1
Albacete,2002,16,16,2
Albacete,2003,16,16,3
Albacete,2004,16,16,1
Albacete,2005,17,16,2
Albacete,2006,17,17,3
Albacete,2007,17,17,1
Albacete,2008,17,17,2
Albacete,2009,18,17,3
Albacete,2010,18,18,1
Albacete,2011,18,18,2
Albacete,2012,21,18,3
Albacete,2013,21,21,1
Albacete,2014,21,21,2
Albacete,2015,23,21,3
Albacete,2016,23,23,1
Albacete,2017,25,23,2
Albacete,2018,26,25,3
Albacete,2019,26,26,1
