year,total
1950,1
1951,1
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,1
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,1
1966,0
1967,1
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,2
1982,0
1983,0
1984,1
1985,3
1986,1
1987,1
1988,4
1989,3
1990,2
1991,9
1992,1
1993,2
1994,1
1995,7
1996,0
1997,0
1998,0
1999,4
2000,3
2001,1
2002,1
2003,7
2004,3
2005,3
2006,1
2007,1
2008,3
2009,2
2010,0
2011,0
2012,7
2013,1
2014,1
2015,11
2016,9
2017,9
2018,5
2019,3
