year,temp
1950,11.4
1951,6.3
1952,9.6
1953,8.6
1954,7.4
1955,7.6
1956,2.6
1957,10.3
1958,10.8
1959,11
1960,8.5
1961,15.3
1962,10.5
1963,5.7
1964,9.9
1965,6.8
1966,10.9
1967,10.1
1968,8.9
1969,7
1970,9.5
1971,11.1
1972,8.3
1973,9.4
1974,8.2
1975,10.6
1976,10.2
1977,9.2
1978,10
1979,8.8
1980,10.9
1981,10
1982,10.5
1983,8.4
1984,8.8
1985,10.9
1986,7.7
1987,9.7
1988,10.1
1989,11.8
1990,13
1991,8.1
1992,11.6
1993,10.1
1994,9.8
1995,11.6
1996,8.2
1997,13.3
1998,13.4
1999,10.3
2000,13.8
2001,10.2
2002,11.4
2003,7.8
2004,9.9
2005,7.5
2006,8.3
2007,10.5
2008,12.3
2009,11.2
2010,7.6
2011,11.1
2012,9.2
2013,8.9
2014,9.3
2015,8.6
2016,9.7
2017,11.6
2018,8.3
2019,13.2
