year,temp
1951,11
1952,12.1
1953,11.4
1954,10.7
1955,12.3
1956,5.8
1957,15.5
1958,13.5
1959,12.2
1960,12.8
1961,15.9
1962,11.7
1963,8.6
1964,13.3
1965,9.7
1966,15
1967,12.1
1968,12.8
1969,10.3
1970,12.4
1971,13.7
1972,12.4
1973,11.7
1974,12.2
1975,13.5
1976,12.6
1977,14.9
1978,14.2
1979,12.4
1980,14.6
1981,11.3
1982,11.8
1983,11.1
1984,11.6
1985,13.6
1986,11.2
1987,13
1988,13.1
1989,14
1990,18
1991,11.9
1992,13.2
1993,11
1994,14.3
1995,16
1996,11.3
1997,16.5
1998,13.5
1999,12.5
2000,16.9
2001,14
2002,15.2
2003,11.2
2004,10
2005,10.1
2006,12
2007,15.4
2008,14.9
2009,13.1
2010,11.5
2011,14.6
2012,11.6
2013,12.1
2014,14.4
2015,11.6
2016,14.6
2017,14.8
2018,10.9
2019,16.1
