year,temp
1950,10
1951,5.4
1952,7.4
1953,6.1
1954,5.7
1956,-0.4
1957,9
1958,9.6
1959,9.7
1960,6.8
1961,12.9
1962,6.8
1963,4.4
1964,8.2
1965,3.9
1966,9.9
1967,8.4
1968,7.8
1969,5.5
1970,7.3
1971,9.6
1972,7.1
1973,6.8
1974,6.2
1975,10.1
1976,8.3
1977,8.4
1978,9
1979,8
1980,10
1981,7.9
1982,9.2
1983,7
1984,6.2
1985,11.2
1986,5.1
1987,7.3
1988,7.9
1989,11.1
1990,12
1991,6.8
1992,10.3
1993,8
1994,9.4
1995,10.7
1996,6.9
1997,12.1
1998,12.1
1999,8.1
2000,13.2
2001,9.2
2002,10.4
2003,7.3
2004,9.3
2005,5.9
2006,7.9
2007,10.2
2008,11.9
2009,8.9
2010,6.2
2011,9.8
2012,5.9
2013,6.4
2014,8.1
2015,5.4
2016,8.6
2017,11.2
2018,6.2
2019,12.9
