year,temp
1950,12.5
1951,8.6
1952,11.6
1953,10.9
1954,9.6
1955,10.4
1956,5.5
1957,13.5
1958,12
1959,11.2
1960,10.4
1961,14.7
1962,10.6
1963,6.9
1964,10.8
1965,9.2
1966,12.7
1967,10.3
1968,11.3
1969,8.2
1970,10.8
1971,12.5
1972,9.8
1973,11.1
1974,10.4
1975,11.1
1976,11.4
1977,11.9
1978,11.5
1979,10.8
1980,13
1981,10.3
1982,11.2
1983,9.5
1984,10.1
1985,12.3
1986,9.6
1987,11
1988,10.7
1989,12.5
1990,15.7
1991,10.3
1992,11.4
1993,10.8
1994,12.3
1995,13.7
1996,10.2
1997,14.5
1998,12.7
1999,12
2001,12
2002,13.7
2003,9.7
2004,9.8
2005,10.2
2006,10.7
2007,13.2
2008,13.6
2009,12.1
2010,9.8
2011,14
2012,12.3
2013,11.1
2014,11.7
2015,11.4
2016,13.1
2017,12.8
2018,9.9
2019,14.4
