year,temp
1960,12.4
1961,16.8
1962,12.5
1963,8.9
1964,12.3
1965,10.3
1966,14.7
1967,12
1968,13.7
1969,10.9
1970,13.7
1971,14.6
1972,12.7
1973,13
1974,12.4
1975,13.6
1976,13.7
1977,14.3
1978,14
1979,12.9
1980,14.6
1981,11.4
1982,12.1
1985,14.1
1986,12.1
1987,12.6
1988,13.7
1989,13.9
1990,18.2
1991,13.4
1992,11.2
1993,12.5
1994,15.3
1995,16
1996,13
1997,15.5
1998,14.3
1999,14.9
2000,17.8
2001,13.9
2002,16.2
2003,12
2004,9.6
2005,12.4
2006,11.4
2007,15
2008,16
2009,14.1
2010,12.4
2011,15.3
2012,12.8
2013,13.2
2014,13.9
2015,12.7
2016,15
2017,14.3
2018,11.6
2019,16.8
