year,temp
1950,18.2
1951,16.6
1952,15.6
1953,14.2
1954,15.7
1955,17.6
1956,11.6
1957,18.2
1958,17.5
1959,14.3
1960,16.5
1961,18.3
1962,16.9
1963,13.6
1964,17.2
1965,14.2
1966,19.2
1967,15.9
1968,17.2
1969,14.5
1970,18.4
1971,17.3
1972,16.4
1973,16.7
1974,16.4
1975,16
1976,16.3
1977,19.5
1978,18.5
1979,17.5
1980,17.1
1981,15.9
1982,16.5
1983,14.9
1984,15.9
1985,17.8
1986,16.2
1987,17.4
1988,17
1989,17.3
1990,20.5
1991,15.1
1992,15.9
1993,14.4
1994,18.5
1995,19.8
1996,17.2
1997,19.1
1998,17.1
1999,18
2000,20.5
2001,18.2
2002,20
2003,15.5
2004,15.9
2005,14.4
2006,16.1
2007,19.2
2008,17.1
2009,16.5
2010,15.9
2011,18.6
2012,15.3
2013,17.1
2014,18.5
2015,16.6
2016,19
2017,18.5
2018,15.2
2019,18.7
