year,temp
1956,4.7
1957,12.5
1958,12.5
1959,11.3
1960,9.8
1961,15.7
1962,11.4
1963,5.3
1964,11.6
1965,8.7
1966,12.1
1967,11.4
1968,8.7
1969,7.7
1970,10.2
1971,12.3
1972,8.3
1973,10.3
1974,8.8
1975,10.7
1976,10.3
1977,9.6
1978,10.3
1979,9.2
1980,13
1981,10.8
1982,10.5
1983,9.1
1984,9.9
1985,12.3
1986,7.1
1987,9.6
1988,9.9
1989,11.6
1990,15.6
1991,8.1
1992,12.4
1993,10.6
1994,11.1
1995,13.7
1996,9.7
1997,15.6
1998,14.3
1999,11.5
2000,16.1
2001,11.5
2002,14.3
2003,9.4
2004,12.9
2005,9.2
2006,11
2007,11.5
2008,13.5
2009,12
2010,9
2011,13.5
2012,11
2013,9.1
2014,9.4
2015,8.7
2016,11.6
2017,13.2
2018,9.6
2019,16.2
