year,temp
1955,14.4
1956,10.8
1957,15.5
1958,17
1959,14.6
1960,15.7
1961,17.6
1962,16
1963,12.6
1964,15.6
1965,13.6
1966,15.5
1967,15.5
1968,14.8
1969,13.2
1970,15.1
1971,16.8
1972,14.4
1973,14.7
1974,14.7
1975,15.5
1976,16
1977,15.3
1978,16.7
1979,14.7
1980,15.2
1981,16.6
1982,15.5
1983,13.8
1984,15
1985,17.2
1986,14.3
1987,15.3
1988,15.4
1989,17.2
1990,17.5
1991,13.5
1992,16.1
1993,16.7
1994,15
1995,17.6
1996,14
1997,18.4
1998,17.9
1999,16.8
2000,18.9
2001,16.7
2002,17.8
2003,15.1
2004,15.8
2005,15
2006,15.2
2007,16.5
2008,17.7
2009,17
2010,14.3
2011,17.2
2012,16
2013,14.9
2014,15.2
2015,15.5
2016,15.9
2017,17.1
2018,16
2019,18.4
