year,temp
1950,20.3
1951,16.8
1952,16.8
1953,16.5
1954,15.7
1955,17.5
1956,12.6
1957,18.2
1958,18.8
1959,17.1
1960,17.9
1961,21.1
1962,18.9
1963,15.2
1964,17.8
1965,16.6
1966,18.3
1967,18.3
1968,17.1
1969,15.6
1970,18.5
1971,18.9
1972,16.2
1973,17.7
1974,17.4
1975,18.2
1976,18.6
1977,16.6
1978,17.9
1979,16.6
1980,18.2
1981,17.5
1982,17.6
1983,15.5
1984,17.2
1985,17.8
1986,15.7
1987,16.6
1988,16.9
1989,17.5
1990,19.6
1991,15.4
1992,18
1993,18.1
1994,16.7
1995,18.9
1996,15.9
1997,20.5
1998,18.7
1999,17.6
2000,21.1
2001,17.9
2002,19.6
2003,17.2
2004,17.9
2005,16.2
2006,16.4
2007,17.8
2008,19.4
2009,17.6
2010,16.5
2011,18.9
2012,17.1
2013,16.4
2014,16.6
2015,16.7
2016,17.7
2017,17.5
2018,17.4
2019,19.7
