year,temp
1950,14.1
1951,10.5
1952,12.4
1953,12
1954,11.5
1955,11.8
1956,7.7
1957,14
1958,15
1959,12.3
1960,12.4
1961,16.3
1962,13.3
1963,9.6
1964,12.5
1965,10.3
1966,13.6
1967,12.4
1968,11
1969,9.8
1970,12.1
1971,13.7
1972,11.2
1973,12.3
1974,11.7
1975,13.8
1976,13
1977,12.6
1978,13.4
1979,12.3
1980,14.4
1981,13.1
1982,13.1
1983,10.9
1984,12.1
1985,14.8
1986,10.8
1987,12.3
1988,12.6
1989,13.9
1990,17.8
1991,12
1992,13.9
1993,13.1
1994,14.3
1995,14.6
1996,11.9
1997,17
1998,15.7
1999,13.8
2000,17.9
2001,14.1
2002,15.9
2003,12
2004,14
2005,11
2006,12.4
2007,14.2
2008,15.1
2009,14.1
2010,11.7
2011,14.8
2012,12.3
2013,12.1
2014,12.3
2015,11.9
2016,13
2017,14.2
2018,11.9
2019,16.8
