year,temp
1954,13.5
1955,16.6
1956,9.6
1957,16.4
1958,16.4
1959,15.1
1960,16
1961,17.4
1962,14.8
1963,13.4
1964,16
1973,13.9
1974,14.1
1975,16.4
1976,14.7
1977,15.9
1978,16.2
1979,15.7
1980,15.6
1981,13.4
1982,15.1
1983,14.1
1984,14.6
1985,16.3
1986,14
1987,14.1
1988,15.4
1989,17.3
1990,18.4
1991,14.4
1992,15.1
1993,14.4
1994,15.9
1995,17.4
1996,14.6
1997,17.2
1998,16.8
1999,14.6
2000,17.5
2001,15.5
2002,16.9
2003,14
2004,14.9
2005,12.8
2006,14.4
2007,17.6
2008,16.5
2009,14.8
2010,15
2011,16
2012,13
2013,14.1
2014,16.8
2015,14.3
2016,17.3
2017,17.4
2018,13.5
2019,17.4
