year,temp
1950,12.4
1953,5.3
1954,6.6
1955,8.8
1956,0.7
1957,12.8
1958,11.6
1959,11.1
1960,10.2
1961,14.6
1962,8.4
1963,6.2
1964,10.6
1965,5.7
1966,12.9
1967,10.7
1968,9.9
1969,6.7
1970,8.6
1971,9.9
1972,9.6
1973,7.9
1974,8.5
1975,11.5
1976,10.3
1977,12.5
1978,11
1979,9.7
1980,12.8
1981,7.9
1982,9.2
1983,6.6
1984,7.7
1985,11.9
1986,7.7
1987,8.5
1988,9.7
1989,12.4
1990,15.5
1991,8.9
1992,11
1993,9.4
1994,11.6
1995,12.9
1996,7.8
1997,14.5
1998,13.1
1999,8.1
2000,13.4
2001,10.7
2002,12.2
2003,8.5
2004,9.5
2005,6.3
2006,8.9
2007,12.7
2008,13.1
2009,10
2010,8.3
2011,12
2012,7.5
2013,8.3
2014,11.3
2015,6.7
2016,10.6
2017,13.4
2018,7.5
2019,14.2
