year,temp
1951,15
1952,16.8
1953,16.6
1954,15.8
1955,17.5
1956,12.6
1957,18.7
1958,19
1959,16.5
1960,17.1
1961,21
1962,17.6
1963,14.9
1964,17
1965,16.3
1966,18.3
1967,17.5
1968,16.8
1969,15.4
1970,18
1971,19.1
1972,16.5
1973,17.3
1974,17.2
1975,17.7
1976,17.9
1977,16.6
1978,17.7
1979,15.9
1980,17.4
1981,17.6
1982,17.6
1983,15.9
1984,16.7
1985,18.3
1986,15.7
1987,16.6
1988,17.2
1989,18.5
1990,20.9
1991,15.2
1992,18.6
1993,18.7
1994,17.8
1995,20
1996,16.1
1997,21.1
1998,19.6
1999,18.1
2000,22.1
2001,18.6
2002,19.4
2003,16.9
2004,18.5
2005,16.7
2006,16.6
2007,18.4
2008,20.1
2009,17.9
2010,17
2011,18.7
2012,17.7
2013,16.1
2014,17
2015,16.9
2016,18.1
2017,17.9
2018,17.4
2019,20.4
