year,temp
1953,13.7
1954,13
1955,14.5
1957,16.9
1958,15.9
1959,14.6
1960,14.8
1961,17
1962,14.7
1963,11.6
1964,14.7
1965,11.7
1966,16.5
1967,14.5
1968,14
1969,12.8
1970,15.7
1971,15.2
1972,14.3
1973,14.8
1974,14.2
1975,14.4
1976,14.7
1977,16.8
1978,15.3
1979,15.3
1980,15.4
1981,13.2
1982,14
1983,12.4
1984,13.5
1985,15.6
1986,12.9
1987,13.8
1988,14.8
1989,16.5
1990,17.8
1991,13.7
1992,14.2
1993,13.9
1994,15.6
1995,17.6
1996,14
1997,16.7
1998,15.9
1999,15.6
2000,18.2
2001,16
2002,17.4
2003,12.8
2004,13.8
2005,13.5
2006,14.4
2007,17.6
2008,14.8
2009,13.6
2010,12.4
2011,16.3
2012,14.1
2013,14
2014,16.1
2015,14.6
2016,18.2
2017,16.8
2018,13.4
2019,17.1
