year,temp
1950,12.2
1951,8.8
1952,10.9
1953,10.1
1954,10.4
1955,9.7
1956,6.3
1957,12.1
1958,13.3
1959,11.7
1960,10.2
1961,15.3
1962,12.3
1963,7.6
1964,12
1965,9
1966,11.6
1967,10.6
1968,10.2
1969,8.9
1970,11.3
1971,12.7
1972,10.4
1973,11.9
1974,10.6
1975,11.8
1976,11.7
1977,10.9
1978,12
1979,11
1980,12.2
1981,11.5
1982,11.8
1983,10.8
1984,11.5
1985,13
1986,9.2
1987,11.1
1988,11.4
1989,12.8
1990,15.4
1991,9.4
1992,12.4
1993,11.3
1994,11.4
1995,13
1996,10.5
1997,14.7
1998,13.9
1999,12.5
2000,16
2001,12.8
2002,13.6
2003,10.5
2004,12.2
2005,9.6
2006,11.1
2007,12.8
2008,13
2009,12.4
2010,9.8
2011,13.2
2012,11.7
2013,10.6
2014,10.7
2015,10.7
2016,12.2
2017,12.8
2018,10.6
2019,14.6
