year,temp
1950,13.5
1951,10.1
1952,11.2
1953,10
1954,9.2
1955,10.2
1956,3.9
1957,13.8
1958,12.4
1959,11.7
1960,11.2
1961,15.1
1962,10.1
1963,7.5
1964,12
1965,7.9
1966,13.7
1967,12.3
1968,11.4
1969,9.6
1970,11.2
1971,12.6
1972,10.7
1973,10
1974,10.3
1975,12.3
1976,11.4
1977,13.4
1978,12.5
1979,10.9
1980,12.9
1981,10.1
1982,10.7
1983,9.2
1984,9.9
1985,13.5
1986,9.7
1987,10.6
1988,11.4
1989,14.5
1990,16.6
1991,10.6
1992,12.5
1993,10.3
1994,13.3
1995,14.5
1996,10.8
1997,15.2
1998,12.8
1999,10.8
2000,14.8
2001,12.9
2002,13.8
2003,9.6
2004,9.2
2005,8.7
2006,11.8
2007,14.3
2008,14.2
2009,12.5
2010,10.2
2011,13.4
2012,10.6
2013,10.3
2014,13.3
2015,9.5
2016,12.8
2017,14.4
2018,9.5
2019,14.6
