year,temp
1950,15
1951,13.5
1952,15.2
1953,14.1
1954,12.6
1955,16.4
1956,15.8
1957,16.5
1958,16.6
1959,15
1960,18.4
1961,18.8
1962,15.1
1963,14.6
1964,17.5
1965,16.6
1966,19.5
1967,15.9
1968,15.2
1969,17
1970,15.6
1971,14.7
1972,13.7
1973,14.1
1974,14.4
1975,15.5
1976,14.7
1977,16.7
1978,17.6
1979,18.3
1980,17.5
1981,14.6
1982,15.9
1983,16.6
1984,16
1985,16.5
1986,15.1
1987,17.3
1988,15.1
1989,15.3
1990,19.6
1991,15.1
1992,17
1993,15.9
1994,17.2
1995,18.5
1996,15.4
1997,19.3
1998,20.2
1999,15.4
2000,18
2001,17.4
2002,18.8
2003,15.6
2004,18.9
2005,14.3
2006,15.5
2007,16.1
2008,15.5
2009,15.4
2010,19
2011,16.5
2012,14.6
2013,16.9
2014,15.5
2015,14
2016,16.4
2017,15.9
2018,14.6
2019,18.7
