year,temp
1950,11.9
1951,7.7
1952,10
1953,8.4
1954,8.2
1955,9.2
1956,4.4
1957,11.4
1958,11.7
1959,10.8
1960,10.3
1961,15.1
1962,10.5
1963,6.9
1964,10.6
1965,7.6
1966,11.3
1967,10.8
1968,9.5
1969,7.5
1970,10.3
1971,11
1972,8.9
1973,10
1974,8.8
1975,11.2
1976,10.1
1977,10.1
1978,10.1
1979,9.2
1980,11.1
1981,9.8
1982,10.7
1983,8.8
1984,8.7
1985,11.7
1986,8.2
1987,10.3
1988,10.3
1989,12.5
1990,14.1
1991,8.7
1992,12.7
1993,11.2
1994,10.5
1995,12.5
1996,9
1997,14.2
1998,14.6
1999,10.5
2000,15.1
2001,11.3
2002,13.1
2003,9.2
2004,11.7
2005,8.1
2006,9.4
2007,12.6
2008,15.1
2009,12.4
2010,9.5
2011,12.8
2012,10.7
2013,10.7
2014,10.4
2015,9.4
2016,10.4
2017,13.1
2018,9.1
2019,15.3
