year,temp
1950,17.3
1951,16.7
1954,14.9
1955,16.9
1956,10.9
1957,18.3
1958,17.3
1959,14.7
1960,16.7
1961,17.7
1962,16
1963,13.8
1964,16.7
1965,13.7
1966,18.7
1967,15.8
1968,17.1
1969,14.7
1970,18
1971,17
1972,17.4
1973,17.2
1974,16.5
1975,15.6
1976,14.9
1977,18.4
1978,17.6
1979,17.2
1980,16
1981,14.3
1982,15.6
1983,14.1
1984,15.7
1985,17
1986,15.7
1987,16
1988,16.2
1989,16.4
1990,19.3
1991,14.5
1992,15
1993,14.1
1994,17.4
1995,19.1
1996,15.7
1997,17.5
1998,16.4
1999,16.7
2000,18.8
2001,16.6
2002,18
2003,14.9
2004,15
2005,14.2
2006,15.4
2007,18.7
2008,16.5
2009,16
2010,15.5
2011,17
2012,14.1
2013,15.7
2014,17.5
2015,15.5
2016,18.1
2017,17.5
2018,14.8
2019,17.5
