year,temp
1950,10.1
1951,4.9
1952,9
1953,8.4
1954,6.6
1955,7.2
1956,1.9
1957,9.8
1958,10.7
1959,10.4
1960,7.6
1961,14.8
1962,9.3
1963,3.8
1964,10.2
1965,6.6
1966,9.7
1967,9.2
1968,7.6
1969,6.1
1970,7.9
1971,10.8
1972,6.5
1973,7.5
1974,6.5
1975,9.8
1976,9.1
1977,8.3
1978,8.5
1979,7.8
1980,10.7
1981,9.1
1982,9.2
1983,7.9
1984,9
1985,11
1986,5.3
1987,7.9
1988,8.2
1989,10.5
1990,13.2
1991,7.1
1992,11.2
1993,8.1
1994,9.2
1995,11
1996,7.3
1997,13.2
1998,13.6
1999,9.3
2000,13.8
2001,10.4
2002,10.9
2003,7
2004,10.2
2005,5.9
2006,9.5
2007,10.1
2008,11.4
2009,10.4
2010,6.6
2011,11.4
2012,7.1
2013,6.6
2014,7.2
2015,6.2
2016,8.8
2017,11
2018,7.2
2019,14.8
