year,temp
1950,16
1951,12.6
1952,12.9
1953,10.3
1954,10
1955,12.5
1956,5.6
1957,16.8
1958,16.1
1959,14
1960,15
1961,17.6
1962,11.7
1963,10.5
1964,14
1965,9.6
1966,17.2
1967,15.3
1968,14.1
1969,11.3
1970,12.8
1971,13.3
1972,13.7
1973,11.7
1974,12.7
1975,15.2
1976,14.7
1977,17
1978,14.9
1979,13.6
1980,15.6
1981,12.4
1982,14.6
1983,11.9
1984,11.6
1985,17.2
1986,13.2
1987,13.2
1988,14.5
1989,16.5
1990,18.7
1991,13.5
1992,15
1993,13.6
1994,15.4
1995,16.6
1996,11.8
1997,17.9
1998,16.9
1999,11.6
2000,15.5
2001,13.5
2002,15.1
2003,12.8
2004,13.4
2005,10.3
2006,11.8
2007,16.5
2008,17.3
2009,13.3
2010,13.5
2011,16.1
2012,10.8
2013,11.2
2014,15.8
2015,10.8
2016,13.8
2017,16.5
2018,10.4
2019,17.8
