year,temp
1950,13.3
1951,10.4
1952,9
1953,8.3
1954,7.8
1955,10.2
1956,3.6
1957,15
1958,13.9
1959,11.1
1960,12.7
1961,15.1
1962,9.2
1963,8.2
1964,11.4
1965,7.6
1966,15.3
1967,12.2
1968,11.8
1969,9.1
1970,9.9
1971,10.3
1972,11.5
1973,9.1
1974,10.5
1975,12.7
1976,11.3
1977,14.2
1978,12.3
1979,11.4
1980,13
1981,9.6
1982,12
1983,9.5
1984,8.4
1985,14
1986,9.5
1987,10.1
1988,11.2
1989,12.9
1990,16.3
1991,10.2
1992,11.4
1993,10.4
1994,12.7
1995,13.7
1996,9.4
1997,15.5
1998,14
1999,9
2000,12.9
2001,11.3
2002,12.9
2003,10
2004,10.7
2005,7.8
2006,9
2007,14.4
2008,14.8
2009,10.4
2010,10.5
2011,12.9
2012,7.4
2013,9.4
2014,13.1
2015,9.1
2016,11.8
2017,13.8
2018,8.4
2019,15.1
