year,temp
1955,12.3
1956,6.2
1957,16.2
1958,15.4
1959,14.5
1960,16.3
1961,17.3
1962,11.8
1963,11.1
1964,14.1
1965,10.3
1966,17
1967,14.6
1968,14.1
1969,11.8
1970,12.9
1971,12.7
1972,12.6
1973,11
1974,12.3
1975,15.2
1978,14.2
1979,13.8
1980,15.1
1981,12.5
1982,14.7
1983,12.2
1984,11.5
1985,16.2
1986,11.7
1987,12.9
1988,13.8
1989,15
1990,18.4
1991,12.3
1992,13.7
1993,13.4
1994,15.1
1995,16.1
1996,12.2
1997,16.3
1998,16
1999,11.8
2000,14.6
2001,13.9
2002,15.1
2003,13
2004,12.8
2005,10.4
2006,11.4
2007,16.1
2008,16
2009,12.4
2010,13.1
2011,14.7
2012,10.7
2013,12.3
2014,15.7
2015,11.7
2016,14.3
2017,15.6
2018,11.3
2019,16.8
