year,temp
1969,15.6
1970,17.3
1971,17.1
1972,17.8
1973,16.9
1974,16.6
1975,17.2
1976,17.3
1977,17.2
1978,19
1979,18
1980,17.1
1981,16.7
1982,18.3
1983,15.5
1984,17.4
1985,18.9
1986,17.9
1987,17.6
1988,18.3
1989,18
1990,19.4
1991,17
1992,17.1
1993,16.9
1994,17.8
1995,18.9
1996,17.8
1997,18.7
1998,17.9
1999,16.6
2000,19.1
2001,18.3
2002,18.1
2003,16.6
2004,17.8
2005,16.1
2006,16.2
2007,18.9
2008,18
2009,16.4
2010,16.6
2011,17
2012,15.5
2013,16.7
2014,17.5
2015,17.2
2016,18.3
2017,19.1
2018,16.8
2019,18.4
