year,temp
1950,12.4
1951,9.1
1952,12.2
1953,10.9
1954,9.4
1955,9.8
1956,7.2
1957,11.4
1958,13.2
1959,13.6
1960,10.8
1961,14.9
1962,11.2
1963,9
1964,12.8
1965,11.4
1966,11.9
1967,12.2
1968,10.9
1969,10.2
1970,9.7
1971,13.7
1972,9.7
1973,10.6
1974,10.1
1975,12.1
1976,11.8
1977,10.9
1978,11.3
1979,11.1
1980,12.4
1981,12.1
1982,12.2
1983,9.7
1984,11.2
1985,13.3
1986,9.3
1987,12
1988,12.4
1989,14
1990,13.1
1991,9.9
1992,13.5
1993,13.9
1994,10.9
1995,13.1
1996,10.9
1997,14
1998,16.3
1999,12.5
2000,13.8
2001,14.2
2002,12.6
2003,11.3
2004,13.9
2005,10.5
2006,11.8
2007,11.8
2008,16.1
2009,13.5
2010,10
2011,12.5
2012,12.5
2013,11.6
2014,11.7
2015,11.1
2016,11.7
2017,13.3
2018,10.5
2019,14.5
