year,temp
1950,18.3
1951,17.5
1952,15.9
1953,15
1954,15.5
1955,17.4
1956,12.3
1957,17.7
1958,16.6
1959,13.9
1960,17.5
1961,17
1962,16.3
1963,15.3
1964,16.5
1965,14
1966,18.9
1967,16.1
1968,16.8
1969,15.3
1970,18.5
1971,16.8
1972,16.6
1973,16.2
1974,15.9
1975,16.2
1976,15.8
1977,18.5
1978,19.2
1979,17.6
1980,16.4
1981,15.7
1982,16.8
1983,14.5
1984,16.5
1985,16.9
1986,16.7
1987,17.3
1988,16.9
1989,17.4
1990,19.4
1991,15.9
1992,16.1
1993,14.4
1994,18
1995,19.3
1996,16.3
1997,18
1998,15.7
1999,16.5
2000,18.6
2001,17.6
2002,18
2003,15.7
2004,15.8
2005,14.5
2006,15.9
2007,19.2
2008,16.6
2009,16.3
2010,15.6
2011,17.4
2012,14
2013,16.6
2014,18.3
2015,16.6
2016,18
2017,17.6
2018,15.9
2019,17.5
