year,temp
1954,15.1
1955,17.4
1956,13.5
1957,21
1958,19.1
1959,16.6
1960,17.4
1961,20.4
1962,17.4
1963,15.3
1964,16.7
1965,15.8
1966,18
1967,17.6
1968,16.2
1969,15.5
1970,17.4
1971,18.4
1972,15.5
1973,16.4
1974,16.7
1975,17.2
1976,17.1
1977,16.3
1978,17.8
1979,16.1
1980,18.1
1981,17.6
1982,17.5
1983,16.1
1984,16.7
1985,18.4
1986,15.8
1987,16.8
1988,16.8
1989,18.1
1990,19.7
1991,15.2
1992,18.3
1993,17.8
1994,17.2
1995,19.1
1996,15.7
1997,20.1
1998,19.4
1999,17.6
2000,21.1
2001,18
2002,19.4
2003,16.5
2004,18
2005,16.8
2006,16.6
2007,19.7
2008,20.1
2009,16.6
2010,17.2
2011,18.7
2012,18.3
2013,16.7
2014,16.9
2015,16.3
2016,18
2017,18.3
2018,16.9
2019,20.3
