year,temp
1952,12.3
1953,11.6
1954,11
1955,11.4
1956,8.1
1957,13.6
1958,13.8
1959,11
1960,11.9
1961,16
1962,12.3
1963,9.5
1964,11.4
1965,10.8
1966,13.1
1967,11.9
1973,14.7
1974,13.7
1975,14.6
1976,14.7
1977,13.6
1978,13.6
1979,14.2
1980,14.4
1981,11.3
1982,16.4
1983,12.5
1984,13.2
1985,15.6
1986,12.1
1987,14.2
1988,14.9
1989,16.5
1990,16.7
1991,12.5
1992,16.1
1993,16
1994,13.2
1995,15.7
1996,13.2
1997,16.9
1998,18.9
1999,15
2000,17
2001,16.5
2002,16.3
2003,13.6
2004,16.6
2005,13.9
2006,14.8
2007,15.3
2008,18.7
2009,16.9
2010,14.1
2011,15.7
2012,16
2013,13.9
2014,14
2015,13.1
2016,14.2
2017,16.9
2018,13.4
2019,18
