year,temp
1954,7.8
1955,9.9
1956,2.9
1957,14.5
1958,12.2
1959,12.7
1960,11.4
1961,15.8
1962,9.5
1963,7.2
1964,10.6
1965,6.3
1966,13.4
1967,11.1
1968,10.3
1970,8.7
1971,10.7
1972,9.9
1973,8.3
1974,8.9
1975,12.1
1976,10.7
1977,12
1978,10.9
1979,9.6
1980,12.5
1981,9.6
1982,10.3
1983,7.8
1984,8.2
1985,13.5
1986,8.2
1987,9.5
1988,10.3
1989,12.8
1990,15.9
1991,9.6
1992,11.7
1993,9.4
1994,11.6
1995,12.9
1996,7.7
1997,13.9
1998,13
1999,7.1
2000,12.7
2001,10.8
2002,11.9
2003,8.3
2004,9.2
2005,7.1
2006,10.3
2007,12.5
2008,14.1
2009,10.4
2010,8.6
2011,12.3
2012,7.6
2013,8.4
2014,10.7
2015,7.7
2016,11.4
2017,13.8
2018,7.6
