year,temp
1950,14.9
1951,11.4
1952,13.1
1953,12.4
1954,10.7
1955,13.9
1956,9.1
1957,17.2
1958,17.2
1959,12.7
1960,14.7
1961,18.3
1962,14
1963,10.4
1964,14.7
1965,12.8
1966,16.1
1967,14.3
1968,12.1
1969,11.8
1970,14.7
1971,14.6
1972,11.4
1973,11.7
1974,11.5
1975,14.2
1976,12.9
1977,13.3
1978,14.9
1979,12.6
1980,15.7
1981,14.4
1982,13
1983,12.2
1984,12.8
1985,15.9
1987,13.4
1988,13.5
1989,14.5
1990,18.7
1991,11.3
1992,14.9
1993,13.4
1994,14.4
1995,17.3
1996,11.6
1997,17.8
1998,16.2
1999,14.1
2000,19.3
2001,15
2002,17.7
2003,12.9
2004,15.7
2005,12.2
2006,12.6
2007,14.9
2008,16.3
2009,14
2010,13.4
2011,15.1
2012,13
2013,12.5
2014,13.3
2015,11.9
2016,14
2017,15.6
2018,13.2
2019,17.5
