year,temp
1950,10.6
1954,5.8
1960,9.5
1961,14.1
1962,8.3
1963,5.3
1964,9.2
1965,6
1966,11.1
1967,9.4
1968,8.4
1969,6.3
1970,8.3
1971,10.1
1972,7.6
1973,6.9
1974,6.7
1975,10.2
1976,8.8
1977,9.5
1978,9.2
1979,8.1
1980,10.6
1981,8.1
1982,9.3
1983,7.6
1985,11.6
1986,6.7
1989,11.6
1990,13.6
1991,7.5
1992,12.1
1993,9.1
1994,9.3
1995,11.5
1996,7
1997,13.7
1998,13.8
1999,8.8
2000,13.8
2001,9.9
2002,11.7
2003,8.1
2004,10.6
2005,6.1
2006,8.4
2007,10.9
2008,13
2009,10.9
2010,8.3
2011,11.2
2012,6.9
2013,7.5
2014,9.2
2015,6.5
2016,9
2017,11.9
2018,6.3
2019,13.7
