year,temp
1950,11.5
1951,7.1
1952,10
1953,8.5
1954,7.8
1955,7.9
1956,2.5
1957,10.8
1958,10.9
1959,10.9
1960,8
1961,14.4
1962,9
1963,5.1
1964,9.7
1966,10.5
1967,10
1968,8.6
1969,6.2
1970,8.7
1971,11
1972,8.2
1973,7.6
1974,7.5
1975,10.8
1976,9.4
1977,9.1
1978,9.7
1979,8.2
1980,10.8
1981,10.4
1982,10.5
1983,7.6
1986,7.2
1987,9.3
1988,10.7
1990,11.9
1991,6.1
1992,10.8
1993,9.2
1994,8.8
1995,10.3
1996,7.2
1997,12.4
1998,12.7
1999,9.2
2000,12.5
2001,8.8
2002,10.3
2003,6.9
2004,9
2005,6.3
2007,9.3
2008,11.2
2009,9.9
2010,6.5
2011,9.6
2012,8.1
2013,7.7
2014,8.4
2015,7.3
2016,8.7
2017,10.9
2018,7.7
2019,13.1
