year,temp
1950,19.6
1951,16.6
1952,16.7
1953,15.7
1954,15.3
1955,17.2
1956,13.2
1957,18.7
1958,18.3
1959,15.4
1960,17.4
1961,19.4
1964,17.2
1966,19.8
1967,16.4
1968,15.9
1969,15
1970,18.4
1971,17.3
1972,16.9
1973,16.9
1974,16.7
1975,17
1976,16.7
1977,18.9
1978,19
1979,18
1980,18
1981,17.2
1982,17.4
1983,15.3
1984,17.5
1985,18.9
1986,18.1
1987,17.2
1988,17.2
1989,17.7
1990,19.4
1991,16.4
1992,16.7
1993,16
1994,17.7
1995,20.6
1996,16.5
1997,19.6
1998,16.9
1999,18
2000,20.2
2001,18.6
2002,19.4
2003,16.9
2004,17
2005,16.2
2006,16.6
2007,19.3
2008,18.3
2009,16.7
2010,17.4
2011,18.3
2012,16.4
2013,17.6
2014,18.5
2015,16.9
2016,19.1
2017,18.5
2018,17.4
2019,18.2
