year,temp
1951,19.5
1952,19.9
1953,19.9
1954,19.2
1955,22.1
1956,20.1
1957,21.1
1958,21.5
1959,20.6
1960,21.9
1961,22.5
1962,20.5
1963,21.1
1964,21.3
1965,21
1966,22.5
1967,21.5
1968,20.7
1969,22.1
1970,20.3
1971,19.9
1972,19.6
1973,19.3
1974,20.2
1975,20.3
1976,20.5
1977,20.4
1978,22.1
1979,21.5
1980,20.7
1981,19.5
1982,20.4
1983,20.6
1984,20.6
1985,22.1
1986,20.7
1987,21.6
1988,20
1989,20.7
1990,23.1
1991,20.5
1992,21.1
1993,20.9
1994,20.7
1995,21.6
1996,21.1
1997,23.3
1998,24.2
1999,20.8
2000,21.3
2001,22.2
2002,22.2
2003,20.6
2004,21.8
2005,19.1
2006,19.9
2007,21
2008,21.7
2009,20.2
2010,23.7
2011,21.1
2012,19.5
2013,21.1
2014,20.9
2015,20.3
2016,21.6
2017,21.6
2018,19.7
2019,22.2
