year,temp
1950,18.9
1951,17.4
1952,17.1
1953,16.5
1954,16.2
1955,19
1956,13.2
1957,20.6
1958,20.2
1959,16.4
1960,18.9
1961,19.9
1962,17.9
1963,15.8
1964,18.9
1965,16.5
1966,19.9
1967,17.5
1968,17.9
1969,15.4
1970,19.9
1971,17.8
1972,17.5
1973,16.7
1974,16.6
1975,17.7
1976,17.7
1977,19.8
1978,19.5
1979,17.7
1980,17.9
1981,16.7
1982,17.4
1983,15.7
1984,17.1
1985,18.4
1986,17.3
1987,17.5
1988,17.6
1989,18.6
1990,20.7
1991,16.4
1992,17.3
1993,15.6
1994,18.6
1995,20.6
1996,16.7
1997,19
1998,17.4
1999,17.4
2000,20
2001,18.2
2002,18.9
2003,16.2
2004,16.2
2005,15.4
2006,16.6
2007,20
2008,17.6
2009,16.5
2010,16.9
2011,18.7
2012,15.4
2013,16.9
2014,18.9
2015,16.6
2016,19.3
2017,18.5
2018,15.9
2019,18.2
